English	German
another	andere, anders
bad	schlecht
basic	elementar, fundamental
beautiful	schön
best	beste
better	besser
big	groß
clean	rein, sauber
cold	kalt
correct	korrekt, richtig
dark	dunkel
difficult	schwer, schwierig
dirty	schmutzig, unrein
fast	schnell
good	gut, lieb
great	groß
great	toll, großartig
happy	glücklich
healthy	gesund
heavy	schwer
high	hoch
hot	warm
important	signifikant, wichtig
left	linke, links
light	leicht
little	klein
long	lang
near	neben
new	neu
nice	nett
open	geöffnet, ofen
real	echt, wahr
right	recht, rechts
sharp	scharf
similar	ähnlich
slow	langsam
soft	weich
strong	stark
weak	schwach
wrong	falsch, fehlerhaft
acid	sauer
after	nach
ago	vor
all	alles
any	ein, beliebig
automatic	automatisch
available	vorhanden
bitter	bitter, herb
boring	ermüdend, langweilig
both	beide
bright	hell, klar
broken	kaputt
central	zentral
certain	gewiss, sicher
cheap	billig
chemical	chemisch
clear	deutlich, klar
closed	geschlossen, ungeöffnet
color	farben, Farb-
common	geläufig
common	gemeinsam
complete	vollendet, vollständig
conscious	bewusst
cruel	barbarisch
current	gegenwärtig, geläufig
dangerous	gefährlich
delicate	zart, zierlich
deplorable	beklagenswert, kläglich
different	anders
different	anders, ungleich
down	unten
dry	trocken
each	jede, jeder
early	früh
easy	leicht
economic	wirtschaftlich
economic	sparsam, ökonomisch
electric	elektrisch, elektrischer
equal	gleich
even	gerade
even	eben
every	alle, jede
excellent	ausgezeichnet
fake	unecht, falsch
false	falsch
far	entfernt, fern
fat	dick, gras
fat	fettig, speckig
few	wenig
final	abschließend, final
financial	finanziell
firm	fest, hart
first	erst
fixed	gegeben, angegeben
flat	eben, flach
following	folgend, nächste
foreign	ausländisch, fremd
former	vorig, früher
fragile	brüchig, gebrechlich
free	frei, kostenlos
frequent	häufig
fresh	frisch
front	vordere
full	voll
full	ganz, gesamt
further	weiter
future	künftig
general	allgemein
industrial	industriell
interesting	interessant
international	international
last	zuletzt, letzte
late	spät, verzögert
legal	legal
light	diät, kalorienarm
liquid	flüssig
local	lokal
loud	laut
low	niedrig
lucky	glücklich
main	wesentlich, primär
major	hauptsächlich
many	viele
metal	metallisch
military	militärisch
minute	winzig
modern	modern
more	mehr
much	viel
narrow	eng
national	national
natural	natürlich
necessary	erforderlich, notwendig
next	nächst
no	kein
normal	normal
off	aus
on	an, eingeschaltet
opposite	entgegengesetzt, gegenüberliegend
original	original, originell
other	ander, sonstig
own	eigen
parallel	parallel
particular	besondere
past	vergangen
personal	persönlich
physical	körperlich, physisch
political	politisch
poor	arm, armselig
popular	populär
possible	möglich
present	gegenwärtig
previous	früher
private	privat
probable	mutmaßlich, wahrscheinlich
professional	professionell
public	öffentlich
quiet	leise
ready	bereit
recent	rezent
regular	regelmäßig, regelrecht
responsible	verantwortlich
rigid	starr
rough	derb, rau
round	kreisförmig, kreisrund
safe	sicher
same	derselbe
second	zweite
secret	geheim
separate	abgesondert, getrennt
serious	ernst
set	festgelegt, festgesetzt
several	mehrere
short	kurtz
silent	geräuschlos, still
silver	silbern
simple	einfach
single	einzeln, einzelne
small	klein
smooth	glatt
solid	fest
sparse	spärlich
special	außergewöhnlich, ungewöhnlich
specific	spezifisch
square	quadratisch, viereckig
squeamish	empfindlich, heikel
standard	normal, standardmäßig
sticky	klebrig, pappig
straight	direkt, gerade
strange	merkwürdig
stylish	elegant
sudden	plötzlich, unvermittelt
sweet	süß
tall	gross
thick	dicht, dick
thin	dünn
tight	dicht
true	richtig, wahr
ugly	mies, hässlich
under	unter
unusual	ungebräuchlich, ungewohnt
usual	üblich
usual	üblich
various	verschieden
warm	warm
wet	feucht, nass
whole	vollständig
wide	breit, weit