English	Italian
be	essere
begin	iniziare
break	rompere
buy	comprare
close	chiudere
come	venire
cut	tagliare
dance	ballare
do	esercitare
draw	disegnare
drink	bere
eat	mangiare
fall	cadere
feel	tatto
find	trovare
fire	sparare
fly	volare
follow	seguire
forget	dimenticare
get	buscarsi
give	dare
have	avere
hear	sentire
help	aiutare
hope	sperare
jump	balzare
kiss	baciare
laugh	ridere
learn	apprendere
lie	essere
lie	mentire
like	probabile
listen	ascoltare
look	guardare
lose	perdere
love	amare
make	rendere
meet	incontrare
move	muovere
need	necessitare
offer	offrire
open	aprire
pay	pagare
play	giocare
pull	tirare
push	spingere
put	posare
read	leggere
remember	ricordare
run	correre
say	dire
sell	vendere
sing	cantare
sit	sedersi
smile	sorridere
take	prendere
talk	parlare
understand	capire
use	usare
wait	aspettare
write	scrivere
accept	accettare
accuse	accusare
achieve	realizzare
act	agire
add	addizionare
add	addizionare
admit	riconoscere
affect	influenzare
agree	accordo con
allow	permettere
announce	annunciare
argue	discutere
arrive	arrivare
ask	chiedere
attack	attaccare
avoid	evitare
be	vivere
bear	portare
beat	vincere
become	diventare
behave	agire
believe	credere
bite	mordere
bring	dare
build	costruire
burn	bruciare
call	chiamare
carry	portare
catch	cogliere
cause	procurare
change	modificare
choose	scegliere
classify	classificare
clean	pulire
compare	paragonare
contain	contenere
continue	continuare
control	controllare
cook	cuocere
copy	copiare
cough	tossire
crush	pestare
cry	piangere
decide	decidere
describe	descrivere
design	progettare
desire	volere
develop	sviluppare
die	morire
discover	scoprire
discuss	discutere
divide	dividere
doubt	dubitare
drive	guidare
embrace	comprendere
encourage	incoraggiare
end	finire
enhance	aumentare
enjoy	godere
enter	entrare
establish	istituire
estimate	stimare
exceed	oltrepassare
exist	esistere
expect	aspettare
explain	spiegare
fight	lottare
fill	riempire
find	scoprire
finish	cessare
flush	livellare
forgive	perdonare
free	liberare
give	up capitolare
grow	crescere
happen	accadere
hate	odiare
hide	nascondere
hold	tenere
identify	identificare
include	includere
increase	accrescere
injure	ferire
introduce	presentare
join	unire
keep	tenere
kick	calciare
kill	uccidere
land	atterrare
last	durare
lead	condurre
leave	lasciare
let	lasciare
lift	alzare
limit	limitare
load	caricare
look	sembrare
lose	perdere
manage	amministrare
marry	sposare
match	corrispondere
mean	intendere
measure	misurare
mention	menzionare
miss	perdere
miss	sbagliare
name	chiamare
order	ingiungere
own	possedere
pass	on consegnare
peel	sbucciare
plow	arare
poison	avvelenare
polish	lucidare
prepare	preparare
press	premere
prevent	impedire
print	stampare
process	sviluppare
profit	approfittare
protest	protestare
prove	provare
publish	pubblicare
raise	educare
rate	valutare
reach	arrivare a
receive	ricevere
record	registrare
reduce	tagliare
reflect	riflettere
refuse	declinare
remove	rimuovere
render	restituire
replace	rimpiazzare
reply	rispondere
report	raccontare
represent	rappresentare
request	richiedere
respect	onorare
reveal	rivelare
risk	rischiare
rule	governare
save	risparmiare
save	salvare
see	vedere
see	considerare
send	mandare
serve	servire
sew	cucire
share	condividere
shout	gridare
show	mostrare
smell	puzzare
smell	odorare
smell	odorare
spend	passare
stand	restare
stay	restare
steal	rubare
stop	fermare
study	studiare
suffer	subire
suggest	proporre
supply	fornire
support	sostenere
surprise	sorprendere
taste	assaggiare
teach	istruire
test	esaminare
thank	ringraziare
throw	gettare
title	intitolare
trade	commerciare
train	istruire
travel	andare
treat	trattare
trick	imbrogliare
try	tentare
turn	girare
visit	visitare
walk	camminare
warm	riscaldare
wash	pulire
watch	guardare
wear	indossare
weigh	pesare
win	vincere
wish	desiderare