English	Portuguese
another	outro
bad	mau
basic	básico
beautiful	lindo
best	melhor
better	melhor
big	grande
clean	limpo
cold	frio
correct	certo
dark	escuro
difficult	difícil
dirty	sujo
fast	rápido
good	bom
great	grande
great	formidável
happy	feliz
healthy	sadio
heavy	pesado
hot	quente
important	importante
left	esquerdo
light	leve
little	pequeno
near	próximo
new	novo
nice	simpático
real	verdadeiro
right	direito
sharp	agudo
similar	semelhante
slow	lento
soft	macio
strong	forte
weak	fraco
wrong	errado
all	tudo
any	qualquer
automatic	automático
available	disponível
bitter	amargo
boring	enfadonho
both	ambos
bright	claro
broken	quebrado
central	central
certain	certo
cheap	barato
chemical	químico
clear	limpo
closed	fechado
common	vulgar
common	comum
complete	completo
conscious	consciente
cruel	cruel
dangerous	perigoso
delicate	delicado
deplorable	triste
different	diferente
different	diferente
down	abaixo
dry	seco
each	cada
early	começo
easy	fácil
economic	poupado
economic	poupado
electric	eléctrico
equal	igual
even	par
every	cada
excellent	excelente
fake	falso
far	longe
fat	gordo
fat	grande
few	pouco
final	final
financial	financeiro
firm	firme
flat	raso
following	seguinte
foreign	estrangeiro
former	passado
fragile	delicado
free	gratuito
frequent	frequente
fresh	fresco
full	cheio
full	total
further	mais longe
future	futuro
general	geral
industrial	industrial
interesting	interessante
international	internacional
last	último
late	tarde
legal	legal
liquid	líquido
local	local
loud	alto
low	baixo
lucky	afortunado
main	principal
major	principal
many	muitos
metal	metálico
military	militar
modern	moderno
more	mais
much	muito
narrow	estreito
national	nacional
natural	natural
necessary	necessário
next	vizinho
no	nenhum
normal	normal
off	fora de
on	sobre
opposite	oposto
original	original
other	outro
own	próprio
parallel	paralelo
particular	especial
past	passado
personal	pessoal
physical	físico
political	político
poor	pobre
popular	popular
possible	possível
present	presente
previous	prévio
private	privado
probable	provável
professional	profissional
public	público
quiet	calado
ready	pronto
recent	recente
regular	regular
responsible	responsável
rigid	rígido
rough	brutal
round	redondo
safe	seguro
same	mesmo
second	segundo
secret	clandestino
separate	separado
serious	sério
set	prescrito
several	vários
short	curto
silent	silencioso
simple	simples
single	único
small	pequeno
smooth	macio
solid	sólido
sparse	ralo
special	especial
specific	específico
square	quadrado
squeamish	delicado
standard	uniformizado
sticky	viscoso
straight	direito
strange	estranho
stylish	elegante
sudden	súbito
sweet	doce
tall	alto
thick	grossa
thin	fino
tight	apertado
true	verdadeiro
ugly	feio
under	debaixo de
unusual	invulgar
usual	vulgar
various	diverso
warm	quente
wet	molhado
whole	inteiro
wide	largo