Portuguese	﻿English
em	about
sobre	above
de novo	again
quase	almost
ao longo de	along
já	already
sempre	always
aproximadamente	approximately
como	as
antes	before
atrás de	behind
entre	between
além de	beyond
por	by
directamente	directly
para baixo	down
cedo	early
cada	either
suficiente	enough
justamente	exactly
por fim	finally
primeiro	first
adiantado	forward
geralmente	generally
aqui	here
aqui	here
contudo	however
imediatamente	immediately
em	in
realmente	indeed
por dentro	inside
em vez de	instead
tarde	late
menos	least
pequeno	little
só	merely
nunca	never
não	not
actualmente	now
evidentemente	obviously
frequentemente	often
uma vez	once
fora	outside
particularmente	particularly
talvez	possibly
provavelmente	probably
rapidamente	quickly
na realidade	really
muito	really
recentemente	recently
lentamente	slowly
assim	so
unicamente	solely
por vezes	sometimes
logo	soon
ainda	still
tal	such
de certeza	surely
depois	then
aí	there
portanto	therefore
hoje	today
juntos	together
amanhã	tomorrow
esta noite	tonight
também	too
acima	up
normalmente	usually
muito	very
bem	well
