English	Esperanto
another	alia
bad	malbona
basic	baza
beautiful	bela
big	granda
clean	pura
cold	malvarma
correct	gxusta
dark	tenebra
difficult	malfacila
dirty	malpura
fast	rapida
good	bona
great	granda
happy	feliĉa
healthy	salubra
heavy	peza
hot	varma
important	grava
left	lefta
light	malpeza
little	bagatela
near	proksima
new	nova
nice	kena
real	efektiva
right	dekstra
sharp	akra
similar	simila
slow	lanta
soft	mola
strong	forta
weak	malforta
wrong	vale
after	post
all	cxio
any	ajna
automatic	aŭtomata
available	havebla
bitter	amara
boring	teda
both	ambaux
bright	hela
broken	rompita
central	centra
certain	certa
cheap	malmultekosta
chemical	kemia
clear	hela
closed	fermita
common	komuna
complete	kompleta
conscious	konscia
cruel	barbara
current	kuranta
dangerous	danĝera
delicate	delikata
deplorable	lamentinda
different	alia
different	diferenca
down	malsupre
dry	seka
each	cxiu
early	frue
easy	facila
economic	ekonomia
economic	ekonomia
electric	elektra
equal	egala
even	para
even	ebena
every	cxiu
excellent	bonega
fake	vale
far	fora
fat	dika
fat	grasa
few	malmulta
final	fina
financial	financa
firm	firma
fixed	fiksita
flat	plata
following	venonta
foreign	eksterlanda
former	estinta
fragile	fragila
free	senpaga
fresh	karge
front	antauxa
full	plena
full	totala
further	plue
future	venonta
general	gxenerala
industrial	industria
interesting	interesa
international	internacia
last	lasta
legal	leĝa
liquid	likva
local	loka
loud	lauxta
low	malalta
lucky	bonŝanca
main	ĉefa
major	majxora
many	multaj
metal	metala
military	armitaj fortoj
minute	eta
modern	moderna
more	pli
much	multe
narrow	malvasta
national	nacia
natural	natura
necessary	necesa
next	apuda
no	nenia
normal	normala
on	sur
opposite	kontrauxa
original	origina
other	alia
own	oma
parallel	paralela
past	pasinta
personal	persona
physical	fizika
political	politika
poor	malriĉa
possible	eventuala
present	nuna
private	privata
probable	versxajna
professional	profesia
public	publika
quiet	kvieta
ready	preta
recent	fresxdata
regular	regula
responsible	respondeca
rigid	nefleksebla
rough	kruda
round	cirkla
safe	sekura
same	sama
second	dua
separate	aparta
serious	serioza
short	kurta
silent	senbrua
simple	simpla
single	sola
small	malgranda
smooth	glata
social	sociala
special	speciala
specific	specifa
square	kvadrata
standard	normala
sticky	glueca
straight	rekta
strange	stranga
stylish	eleganta
sudden	subita
sweet	dolĉaĵo
tall	alta
thick	viskoza
thin	maldika
tight	strikta
true	vera
ugly	malbela
under	sub
various	diversa
warm	varma
wet	malseka
whole	tuta
wide	largxa