Lithuanian	﻿English
juoduma	black
mėlynas	blue
rudas	brown
pilkas	gray
žalias	green
oranžinis	orange
rausvas	pink
raudonas	red
purpurinis	violet
balta	white
geltona	yellow
aštuoni	eight
aštuoniolika	eighteen
aštuoniasdešimt	eighty
vienuolika	eleven
penkiolika	fifteen
penkiasdešimt	fifty
penki	five
keturiasdešimt	forty
keturi	four
keturiolika	fourteen
milijonas	million
devyni	nine
devyniolika	nineteen
devyniasdešimt	ninety
niekas	nothing
vienas	one
septyniasdešimt	seventy
šeši	six
šešiolika	sixteen
šešiasdešimt	sixty
dešimt	ten
trečias	third
trylika	thirteen
trisdešimt	thirty
tūkstantis	thousand
tūkstantis (m)	thousand
trys	three
du, du	two
ranka	arm
nugara	back
snapas	beak
kraujas	blood
kūnas	body
kaulas	bone
smegenys	brain
kvapas	breath
ląstelė	cell
krūtinė	chest
krūtinė	chest
smakras	chin
ausis	ear
akis	eye
veidas	face
pirštas	finger
pėda	foot
kakta	forehead
genas	gene
plaukas	hair
pagalba	hand
galva	head
širdis	heart
*kelis??	knee
koja	leg
lūpa	lip
burna	mouth
raumuo	muscle
nagas	nail
kaklas	neck
nervas	nerve
nosis	nose
oda	skin
skrandis	stomach
uodega	tail
gerklė	throat
nykštys	thumb
liežuvis	tongue
dantis	tooth
sparnas	wing
skruzdėlė	ant
lokys	bear
bitė	bee
paukštis	bird
katinas	cat
karvė	cow
šuo	dog
dramblys	elephant
žuvys	fish
musė (f)	fly
ožka	goat
arklys	horse
vabzdys	insect
liūtas	lion
beždžionė	monkey
kiaulė	pig
avis	sheep
gyvatė	snake
popietė	afternoon
amžius	age
Balandis	April
rugpjūtis	August
ruduo	autumn
pradžia	beginning
šimtmetis	century
data	date
diena	day
Gruodis	December
vakaras	evening
Vasaris	February
Penktadienis	Friday
ateitis	future
valanda	hour
Sausis	January
Liepa	July
Birželis	June
gegužės mėnuo	May
vidurnaktis	midnight
minutė	minute
momentas	moment
momentas	moment
Pirmadienis	Monday
mėnuo	month
rytas	morning
naktis	night
Lapkritis	November
Spalis	October
praeitis	past
pertrauka	pause
laikotarpis	period
Šeštadienis	Saturday
sezonas	season
sekundė	second
Rugsėjis	September
pavasaris	spring
vasara	summer
Sekmadienis	Sunday
Ketvirtadienis	Thursday
rytojus	tomorrow
Antradienis	Tuesday
Trečiadienis	Wednesday
savaitė	week
savaitgalis	weekend
valandėlė	while
žiema	winter
metai	year
duona	bread
pusryčiai	breakfast
sviestas	butter
pyragas	cake
sūris	cheese
šokoladas	chocolate
kiaušinis	egg
maistas	food
vaisius	fruit
priešpiečiai	lunch
valgymas	meal
mėsa	meat
aliejus	oil
ryžiai	rice
mišrainė	salad
druska	salt
sumuštinis	sandwich
padažas	sauce
sriuba	soup
cukrus	sugar
alus	beer
kava	coffee
gėrimas	drink
pienas	milk
arbata	tea
vanduo	water
vynas	wine
obuolys	apple
abrikosas	apricot
bananas	banana
gervuogė	blackberry
trešnė	cherry
citrina	lemon
riešutas	nut
apelsinas	orange
persikas	peach
kriaušė	pear
ananasas	pineapple
slyva	plum
avietė	raspberry
žemuogė	strawberry
pupa	bean
kopūstas	cabbage
morka	carrot
agurkas	cucumber
česnakas	garlic
alyvos	olive
svogūnas	onion
paprastasis pastarnokas	parsnip
bulvė	potato
valgomasis ridikas	radish
pomidoras	tomato
kūdikis	baby
berniukas	boy
brolis	brother
duktė	daughter
mirtis	death
šeima	family
tėvas	father
draugas	friend
mergaitė	girl
senelis	grandfather
žmogus	human
vyras	husband
gyvenimas	life
vyras	man
santuoka	marriage
motina	mother
kaimynas	neighbor
tėvas	parent
asmuo	person
draugystė	relationship
sesuo	sister
sūnus	son
vestuvės	wedding
žmona	wife
moteris	woman
adresas	address
tualetas	bathroom
miegamasis	bedroom
plyta	brick
durys	door
grindys	floor
aukštas	floor
garažas	garage
sodas	garden
vartai	gate
fojė	hall
namas	house
virtuvė	kitchen
stogas	roof
kambarys	room
dušas	shower
laiptelis	step
tualetas	toilet
siena	wall
šulinys	well
langas	window
lova	bed
kilimas	carpet
kėdė	chair
spinta	cupboard
užuolaida	curtain
baldai	furniture
vieta	seat
lentyna	shelf
kriauklė	sink
stalas	table
tašė	bag
batas	boot
audinys	cloth
apranga	clothing
paltas	coat
apykaklė	collar
skrybėlė	hat
striukė	jacket
perlas	jewel
žiedas	ring
marškiniai	shirt
batas	shoe
sijonas	skirt
puskojinė	sock
lagaminas	suitcase
kaklaraištis	tie
oras	air
gyvulys	animal
šaka	branch
raida	evolution
ferma	farm
laukas	field
ugnis	fire
žiedas	flower
miškas	forest
žolė	grass
lapas	leaf
gyvybė	life
žaibas	lightning
drėgmė	moisture
gamta	nature
augalas	plant
šaknis	root
lytis	sex
dangus	sky
miegas	sleep
kvapas	smell
šaltinis	spring
kotas	stem
srovė	stream
medis	tree
banga	wave
oras	weather
pasaulis	world
aerouostas	airport
bankas	bank
tiltas	bridge
pastatas	building
sostinė	capital
pilis	castle
bažnyčia	church
kinoteatras	cinema
miestas	city
fabrikas	factory
butas	flat
ligoninė	hospital
viešbutis	hotel
biblioteka	library
parkas	park
kalėjimas	prison
restoranas	restaurant
kelias	road
mokykla	school
būstinė	station
gatvė	street
statyba	structure
metro	subway
didelė universalinė parduotuvė	supermarket
teatras	theater
miestas	town
universitetas	university
kaimas	village
avarija	accident
valtis	boat
autobusas	bus
automobilis	car
lankstas	curve
skubus	express
skrydis	flight
kelionė	journey
keleivis	passenger
lėktuvas	plane
laivas	ship
bėgis	track
traukinys	train
transportas	transport
