Lithuanian	﻿English
būti	be
daužyti	break
pirkti	buy
būti	come
karpyti	cut
šokti	dance
naudotis	do
piešti	draw
gerti	drink
valgyti	eat
būti	fall
rasti	find
iššauti	fire
skristi	fly
sekti	follow
užmiršti	forget
duoti	give
girdėti	hear
pagelbėti	help
tikėtis	hope
šokti	jump
juoktis	laugh
mokytis	learn
gulėti	lie
meluoti	lie
mėgti	like
laukti	listen
netekti	lose
mylėti	love
judinti	move
mokėti	pay
žaisti	play
traukti	pull
stumti	push
skaityti	read
bėgti	run
sakyti	say
prekiauti	sell
dainuoti	sing
tupėti	sit
šypsotis	smile
imti	take
kalbėti	talk
naudoti	use
laukti	wait
rašyti	write
tikėti	accept
pasiekti	achieve
veikti	act
leisti	allow
ginčytis	argue
klausti	ask
vengti	avoid
gyventi	be
nešti	bear
nugalėti	beat
tapti	become
tikėti	believe
statyti	build
gabenti	carry
iškeisti	change
žymėti	choose
laikyti	classify
valyti	clean
talpinti	contain
trukti	continue
valdyti	control
kopijuoti	copy
kosėti	cough
verkti	cry
vaizduoti	describe
norėti	desire
ryškinti	develop
mirti	die
dalinti	divide
abejoti	doubt
vairuoti	drive
padrąsinti	encourage
baigti	end
džiaugtis	enjoy
viršyti	exceed
egzistuoti	exist
laukti	expect
kovoti	fight
dovanoti	forgive
augti	grow
neapkęsti	hate
slėpti	hide
laikyti	hold
identifikuoti	identify
augti	increase
sužeisti	injure
rodyti	introduce
laikyti	keep
laikyti	last
vesti	lead
leisti	let
sklaidytis	lift
lokalizuoti	limit
vesti	marry
tikti	match
reikšti	mean
ketinti	mean
rodyti	measure
prašauti	miss
turėti	own
arti	plow
blizginti	polish
spausdinti	print
protestuoti	protest
skelbti	publish
auginti	raise
vertinti	rate
pasiekti	reach
gauti	receive
sumažinti	reduce
atspindėti	reflect
grąžinti	render
atidaryti	reply
atstovauti	represent
prašyti	request
gerbti	respect
rizikuoti	risk
valdyti	rule
taupyti	save
gelbėti	save
matyti	see
laikyti	see
siųsti	send
tarnauti	serve
dygsniuoti	sew
rėkti	shout
demonstruoti	show
kvepėti	smell
stovėti	stand
likti	stay
vogti	steal
stabdyti	stop
mokytis	study
remti	support
mokyti	teach
egzaminuoti	test
dėkoti	thank
mesti	throw
prekiauti	trade
mokyti	train
eiti	travel
gydyti	treat
bandyti	try
sukti	turn
eiti	walk
plauti	wash
stebėti	watch
nešioti	wear
sverti	weigh
laimėti	win
