English	Lithuanian
be	būti
break	daužyti
buy	pirkti
come	būti
cut	karpyti
dance	šokti
do	naudotis
draw	piešti
drink	gerti
eat	valgyti
fall	būti
find	rasti
fire	iššauti
fly	skristi
follow	sekti
forget	užmiršti
give	duoti
hear	girdėti
help	pagelbėti
hope	tikėtis
jump	šokti
laugh	juoktis
learn	mokytis
lie	gulėti
lie	meluoti
like	mėgti
listen	laukti
lose	netekti
love	mylėti
move	judinti
pay	mokėti
play	žaisti
pull	traukti
push	stumti
read	skaityti
run	bėgti
say	sakyti
sell	prekiauti
sing	dainuoti
sit	tupėti
smile	šypsotis
take	imti
talk	kalbėti
use	naudoti
wait	laukti
write	rašyti
accept	tikėti
achieve	pasiekti
act	veikti
allow	leisti
argue	ginčytis
ask	klausti
avoid	vengti
be	gyventi
bear	nešti
beat	nugalėti
become	tapti
believe	tikėti
build	statyti
carry	gabenti
change	iškeisti
choose	žymėti
classify	laikyti
clean	valyti
contain	talpinti
continue	trukti
control	valdyti
copy	kopijuoti
cough	kosėti
cry	verkti
describe	vaizduoti
desire	norėti
develop	ryškinti
die	mirti
divide	dalinti
doubt	abejoti
drive	vairuoti
encourage	padrąsinti
end	baigti
enjoy	džiaugtis
exceed	viršyti
exist	egzistuoti
expect	laukti
fight	kovoti
forgive	dovanoti
grow	augti
hate	neapkęsti
hide	slėpti
hold	laikyti
identify	identifikuoti
increase	augti
injure	sužeisti
introduce	rodyti
keep	laikyti
last	laikyti
lead	vesti
let	leisti
lift	sklaidytis
limit	lokalizuoti
marry	vesti
match	tikti
mean	reikšti
mean	ketinti
measure	rodyti
miss	prašauti
own	turėti
plow	arti
polish	blizginti
print	spausdinti
protest	protestuoti
publish	skelbti
raise	auginti
rate	vertinti
reach	pasiekti
receive	gauti
reduce	sumažinti
reflect	atspindėti
render	grąžinti
reply	atidaryti
represent	atstovauti
request	prašyti
respect	gerbti
risk	rizikuoti
rule	valdyti
save	taupyti
save	gelbėti
see	matyti
see	laikyti
send	siųsti
serve	tarnauti
sew	dygsniuoti
shout	rėkti
show	demonstruoti
smell	kvepėti
stand	stovėti
stay	likti
steal	vogti
stop	stabdyti
study	mokytis
support	remti
teach	mokyti
test	egzaminuoti
thank	dėkoti
throw	mesti
trade	prekiauti
train	mokyti
travel	eiti
treat	gydyti
try	bandyti
turn	sukti
walk	eiti
wash	plauti
watch	stebėti
wear	nešioti
weigh	sverti
win	laimėti
wish	norėti