Croatian	﻿English
biti	be
polomiti	break
kupiti	buy
zatvoriti	close
doći	come
rezati	cut
plesati	dance
uvježbati	do
crtati	draw
piti	drink
jesti	eat
pasti	fall
naići na	find
pucati	fire
letjeti	fly
slijediti	follow
zaboraviti	forget
dati	give
saznati	hear
pomoći	help
nadati se	hope
skakati	jump
poljubiti	kiss
smijati se	laugh
učiti	learn
ležati	lie
lagati	lie
sviđati se	like
slušati	listen
gledati	look
izgubiti	lose
voljeti	love
nabasati	meet
micati	move
zahtijevati	need
ponuditi	offer
otvoriti	open
platiti	pay
igrati	play
izvući	pull
položiti	put
čitati	read
sjetiti se	remember
trčanje	run
reći	say
prodati	sell
pjevati	sing
posjesti	sit
smiješiti se	smile
uzeti	take
govoriti	talk
razumjeti	understand
koristiti	use
čekati	wait
pisati	write
prihvatiti	accept
optužiti	accuse
postići	achieve
djelovati	act
priznati	admit
složiti se	agree
propusnica	allow
najaviti	announce
svađati se	argue
stići	arrive
pitati	ask
napad	attack
izbjegavati	avoid
živjeti	be
nositi	bear
pobijediti	beat
postati	become
vjerovati	believe
dovesti do	bring
sagraditi	build
nazvati	call
nositi	carry
promijeniti	change
izabrati	choose
klasificirati	classify
čistit	clean
uspoređivati	compare
sadržavati	contain
nastavljati	continue
kuhati	cook
kopirati	copy
kašalj	cough
plakati	cry
odrediti	decide
opisati	describe
plan	design
željeti	desire
razviti fotografski film	develop
umrijeti	die
otkriti	discover
raspravljati	discuss
podijeliti u grupe	divide
sumnjati	doubt
voziti	drive
obuhvatiti	embrace
ohrabriti	encourage
završiti	end
poboljšati	enhance
ući	enter
utemeljiti	establish
ocijeniti	estimate
nadmašiti	exceed
postojati	exist
iščekivati	expect
objasniti	explain
tući se	fight
napuniti	fill
detektirati	find
oprostiti	forgive
osloboditi	free
rasti	grow
dogoditi se	happen
mrziti	hate
prikriti	hide
držati	hold
identificirati	identify
uključiti	include
raniti	injure
predstaviti	introduce
spojiti	join
smiren	keep
udariti nogom	kick
ubiti	kill
polje	land
potrajati	last
vođenje	lead
ostaviti	leave
dopustiti	let
podići	lift
ograničiti	limit
napuniti	load
izgledati	look
izgubiti	lose
upravljati	manage
oženiti se	marry
kaniti	mean
mjeriti	measure
spomenuti	mention
zvati	name
posjedovati	own
on predati	pass
ljuštiti	peel
otrovati	poison
pripremiti	prepare
privinuti	press
spriječiti	prevent
štampati	print
obraditi	process
prosvjed	protest
objaviti	publish
odgojiti	raise
procijeniti	rate
stići	reach
primiti	receive
snimiti	record
smanjiti	reduce
odražavati	reflect
odbiti	refuse
ukloniti	remove
vratiti	render
odgovoriti	reply
izvijestiti	report
predstavljati	represent
zamoliti	request
poštivati	respect
otkriti	reveal
dogoditi se	risk
voditi	rule
spremiti	save
spasiti	save
vidjeti	see
držati za	see
slati	send
sašiti	sew
vikati	shout
pokazati	show
provesti	spend
stajati	stand
ostati	stay
krasti	steal
zaustaviti	stop
studirati	study
predlagati	suggest
opremiti	supply
poduprijeti	support
iznenaditi	surprise
okusiti	taste
učiti	teach
ispitati	test
zahvaliti	thank
baciti	throw
dati ime	title
trgovati	trade
obrazovati	train
hodati	travel
postupati s	treat
pokušaj	try
okrenuti	turn
posjetiti	visit
hodati	walk
prati	wash
promatrati	watch
nositi	wear
težiti	weigh
pobijediti	win
