English	Japanese
black	黒 [kuro]
blue	青い [aoi]
brown	茶色 [chiyairo]
gray	灰色 [haiiro]
green	緑 [midori]
orange	オレンジ [orenji]
pink	ピンク [pinku]
red	赤 [aka]
violet	紫 [murasaki]
white	白い [shiroi]
yellow	黄色 [oushiyoku]
couple	二人組 [niningumi]
eight	八 [ya]
eighteen	十八 [jiyuuhachi]
eighty	八十 [yaso]
eleven	十一 [toichi]
fifty	五十 [iso]
five	五 [itsu]
forty	四十 [yoso]
four	四つ [yotutsu]
fourteen	十四 [jiyuuyon]
million	1000000
nine	九 [ku]
nineteen	十九 [jiyuukiyuu]
ninety	九十 [kujiyuu]
nothing	無 [muchi]
one	一つ [hitotsu]
seven	七 [shichi]
seventy	七十 [shichijiyuu]
six	六 [roku]
sixteen	十六 [jiyuuroku]
sixty	六十 [rokujiyuu]
ten	十 [too]
thirteen	十三 [jiyuusan]
thirty	三十 [sanjiyuu]
thousand	千 [sen]
three	三 [san]
arm	腕 [ude]
back	背中 [senaka]
beak	くちばし [kuchibashi]
blood	血 [chi]
body	胴 [dou]
bone	骨 [kotsu]
brain	脳 [nou]
breath	息 [soku]
cell	細胞 [saihou]
chest	胸部 [kiyoubu]
chest	胸部 [kiyoubu]
chin	あご [ago]
ear	耳 [mimi]
eye	目 [moku]
face	顔 [kao]
finger	指 [yubi]
foot	足 [soku]
forehead	額 [hitai]
gene	遺伝子 [idenshi]
hair	髪の毛 [kaminoke]
hair	毛 [mou]
hand	手 [te]
head	頭部 [toubu]
heart	心臓 [shinzou]
knee	ひざ [hiza]
leg	脚 [kiyaku]
lip	くちびる [kuchibiru]
mouth	口 [kuchi]
muscle	筋肉 [sujiniku]
nail	つめ [tsume]
neck	首 [tsukasa]
nerve	神経 [shinkei]
nose	鼻 [hana]
skin	皮膚 [hifu]
stomach	胃 [i]
tail	尾 [o]
throat	のど [nodo]
thumb	親指 [oyayubi]
toe	足の指 [ashinoyubi]
tongue	舌 [shita]
tooth	歯 [ha]
wing	ウイング [uingu]
ant	あり [ari]
bear	熊 [kuma]
bee	みつばち [mitsubachi]
bird	鳥 [tori]
cat	猫 [neko]
cow	雌牛 [meushi]
dog	犬 [inu]
elephant	象 [zou]
fish	魚 [uo]
fly	ハエ
goat	やぎ [yagi]
horse	馬 [uma]
insect	昆虫 [konchiyuu]
lion	ライオン [raion]
monkey	猿 [saru]
pig	豚 [buta]
sheep	羊 [hitsuji]
snake	へび [hebi]
afternoon	午後 [gogo]
age	年齢 [nenrei]
April	四月 [shigatsu]
August	八月 [hachigatsu]
autumn	秋 [aki]
beginning	開始 [kaishi]
century	世紀 [seiki]
date	年月日 [nengatupi]
day	日 [nichi]
December	十二月 [jiyuunigatsu]
end	締切り [shimekiri]
evening	夕方 [yuugata]
February	二月 [nigatsu]
Friday	金曜日 [kinyoubi]
future	未来 [mirai]
hour	時 [toki]
January	正月 [shiyougatsu]
July	七月 [shichigatsu]
June	六月 [rokugatsu]
May	五月 [satsuki]
midnight	真夜中 [mayonaka]
minute	分 [fun]
moment	瞬間 [shiyunkan]
moment	瞬間 [shiyunkan]
Monday	月曜日 [getsuyoubi]
month	月 [tsuki]
morning	朝 [chiyou]
night	夜 [yoru]
November	十一月 [jiyuuichigatsu]
now	現在 [genzai]
October	十月 [jiyuugatsu]
past	前歴 [zenreki]
pause	休憩時間 [kiyuukeijikan]
period	期間 [kikan]
present	現在 [genzai]
Saturday	土曜日 [doyoubi]
season	シーズン
second	秒 [biyou]
September	九月 [kugatsu]
spring	春 [haru]
summer	夏 [natsu]
Sunday	日曜日 [nichiyoubi]
Thursday	木曜日 [mokuyoubi]
tomorrow	明日 [miyounichi]
Tuesday	火曜日 [kayoubi]
Wednesday	水曜日 [suiyoubi]
week	週 [shiyuu]
weekend	週末 [shiyuumatsu]
winter	冬 [fuyu]
year	年度 [nendo]
bread	パン [pan]
breakfast	朝食 [chiyoushiyoku]
butter	バター
cake	ケーキ
cheese	チーズ
chocolate	チョコレート
egg	卵 [tamago]
food	食物 [shiyokumotsu]
fruit	果実 [kajitsu]
lunch	昼食 [hiruge]
meal	食事 [shiyokuji]
meat	肉 [shishi]
oil	油 [abura]
rice	米穀 [beikoku]
salad	サラダ [sarada]
salt	塩 [shio]
sandwich	サンドイッチ [sandoituchi]
sauce	ソース
soup	スープ
sugar	砂糖 [satou]
beer	ビール
coffee	コーヒー
drink	飲み物 [nomimono]
milk	乳汁 [niyuujiyuu]
milkshake	ミルクセーキ
tea	茶 [chiya]
water	水 [sui]
wine	ぶどう酒 [budoushiyu]
apple	りんご [ringo]
apricot	アンズ
banana	バナナ [banana]
blackberry	クワの実
cherry	さくらんぼ [sakuranbo]
lemon	レモン [remon]
nut	木の実 [konomi]
orange	オレンジ [orenji]
peach	桃 [momo]
pear	なし [nashi]
pineapple	パイナップル [painatupuru]
plum	プラム [puramu]
raspberry	きいちご [kiichigo]
strawberry	いちご [ichigo]
bean	豆 [mame]
cabbage	キャベツ [kiyabetsu]
carrot	人参 [ninjin]
cucumber	きゅうり [kiyuuri]
garlic	にんにく [ninniku]
olive	オリーブ
onion	玉ねぎ [tamanegi]
parsnip	パースニップ
potato	じゃがいも [jiyagaimo]
radish	ハツカダイコン
tomato	トマト [tomato]
baby	赤ん坊 [akanbou]
birth	誕生 [tanjiyou]
birthday	誕生日 [tanjiyoubi]
boy	少年 [shiyounen]
brother	兄弟 [kiyoudai]
daughter	娘 [musume]
death	死 [shi]
family	一族 [ichizoku]
father	父親 [chichioya]
friend	友人 [yuujin]
girl	少女 [shiyoujiyo]
grandfather	祖父母 [sofubo]
human	人間 [ningen]
husband	夫 [tsuma]
life	一生 [itushiyou]
man	男 [otoko]
marriage	結婚 [ketukon]
mother	母 [kaka]
neighbor	隣人 [rinjin]
parent	親 [shin]
person	人 [to]
relationship	関係 [kankei]
sister	姉妹 [shimai]
son	息子 [musuko]
wedding	結婚式 [ketukonshiki]
wedding	結婚式 [ketukonshiki]
wife	妻 [tsuma]
woman	女 [onna]
address	住所 [jiyuushiyo]
bathroom	トイレ；浴室
bedroom	寝室 [shinshitsu]
brick	れんが [renga]
door	ドア [doa]
floor	床 [yuka]
floor	階 [kai]
garage	車庫 [shiyako]
garden	庭 [niwa]
gate	門 [to]
hall	ロビー
home	家 [ya]
house	家 [ya]
kitchen	台所 [daidokoro]
roof	屋根 [yane]
room	部屋 [heya]
shower	シャワー
step	階段 [kaidan]
toilet	トイレ [toire]
wall	塀 [hei]
well	井戸 [ido]
window	窓 [mado]
bed	ベッド [betudo]
carpet	じゅうたん [jiyuutan]
chair	椅子 [isu]
cupboard	戸棚 [todana]
curtain	カーテン
desk	机 [tsukue]
furniture	家具 [kagu]
seat	席 [seki]
shelf	棚 [tana]
sink	流し [nagashi]
table	テーブル
bag	袋 [fukuro]
boot	ブーツ
cloth	布 [nuno]
clothing	衣類 [irui]
coat	外套 [gaitou]
collar	えり [eri]
hat	帽子 [boushi]
jacket	上衣 [uwagi]
jewel	宝石 [houseki]
ring	指輪 [yubiwa]
shirt	シャツ [shiyatsu]
shoe	靴 [kutsu]
skirt	スカート
suitcase	スーツケース
tie	ネクタイ [nekutai]
air	空気 [kuuki]
animal	動物 [doubutsu]
branch	枝 [shi]
evolution	発展 [hatuten]
farm	農場 [noujiyou]
field	畑 [hatake]
fire	炎 [honoo]
flower	花 [hana]
forest	森 [mori]
grass	芝生 [shibafu]
leaf	葉 [you]
life	生命 [seimei]
lightning	稲妻 [inazuma]
moisture	湿気 [shituki]
nature	自然界 [shizenkai]
plant	植物 [shiyokubutsu]
root	根 [ne]
sex	性 [shiyou]
sky	空 [uro]
sleep	眠り [nemuri]
smell	匂い [nioi]
smoke	煙 [kemuri]
spring	源泉 [gensen]
stem	茎 [kuki]
stream	流れ [nagare]
tree	木 [moku]
wave	波 [nami]
weather	天気 [tenki]
world	世界 [sekai]
airport	飛行場 [hikoujiyou]
bank	銀行 [ginkou]
bridge	橋 [kiyou]
building	建物 [tatemono]
capital	首都 [shiyuto]
castle	城 [shiro]
church	教会 [kiyoukai]
cinema	映画 [eiga]
city	都市 [toshi]
factory	工場 [koujiyou]
flat	アパート
hospital	病院 [biyouin]
hotel	ホテル [hoteru]
library	図書館 [zushiyokan]
park	公園 [kouen]
prison	刑務所 [keimushiyo]
restaurant	レストラン [resutoran]
road	道路 [douro]
school	学校 [gatukou]
station	駅 [eki]
street	通り [toori]
structure	建設 [kensetsu]
subway	地下鉄 [chikatetsu]
supermarket	スーパーマーケット
theater	劇場 [gekijiyou]
