Japanese	﻿English
変わった [kawatuta]	another
悪い [warui]	bad
根本的 [konponteki]	basic
美しい [utsukushii]	beautiful
寧ろ [mushiro]	better
大きい [ookii]	big
冷たい [tsumetai]	cold
正しい [tadashii]	correct
暗い [kurai]	dark
難しい [muzukashii]	difficult
汚い [kitanai]	dirty
速い [hayai]	fast
望ましい [nozomashii]	good
すばらしい [subarashii]	great
うれしい [ureshii]	happy
重い [omoi]	heavy
熱い [atsui]	hot
左側 [sasoku]	left
軽い [karui]	light
一寸した [chiyotutoshita]	little
近い [chikai]	near
新しい [atarashii]	new
快い [kokoroyoi]	nice
すごい [sugoi]	real
順当 [jiyuntou]	right
鋭い [surudoi]	sharp
遅い [osoi]	slow
柔らかい [yawarakai]	soft
濃い [koi]	strong
弱い [yowai]	weak
不可 [fuka]	wrong
以前に [izenni]	ago
総て [subete]	all
どれでも [doredemo]	any
自動的 [jidouteki]	automatic
使用可能 [shiyoukanou]	available
苦い [nigai]	bitter
つまらない [tsumaranai]	boring
共に [tomoni]	both
明朗 [meirou]	bright
中心的 [chiyuushinteki]	central
確か [tashika]	certain
安い [yasui]	cheap
化学的 [kagakuteki]	chemical
クローズ	closed
悲しい [kanashii]	deplorable
下 [shita]	down
そっけない [sotukenai]	dry
おのおの [onoono]	each
早い [hayai]	early
経済的 [keizaiteki]	economic
経済的 [keizaiteki]	economic
等しい [hitoshii]	equal
平たい [hiratai]	even
各各 [sorezore]	every
優れた [sugureta]	excellent
遠い [tooi]	far
太った [futotuta]	fat
脂っ濃い [aburatukoi]	fat
少ない [sukunai]	few
硬い [katai]	firm
平たい [hiratai]	flat
見知らぬ [mishiranu]	foreign
こわれやすい [kowareyasui]	fragile
新しい [atarashii]	fresh
全般的 [zenpanteki]	general
興味深い [kiyoumibukai]	interesting
国際的 [kokusaiteki]	international
合法的 [gouhouteki]	legal
高らか [takaraka]	loud
低い [hikui]	low
主要 [shiyuyou]	main
多数 [tasuu]	many
軍事 [gunji]	military
細かい [komakai]	minute
もっと [motuto]	more
狭い [semai]	narrow
国民的 [kokuminteki]	national
必然的 [hitsuzenteki]	necessary
隣接した [rinsetsushita]	next
庶民的 [shiyominteki]	normal
独創的 [dokusouteki]	original
肉的 [nikuteki]	physical
政治的 [seijiteki]	political
貧しい [mazushii]	poor
いる [iru]	present
私設 [shisetsu]	private
静か [shizuka]	quiet
規則正しい [kisokutadashii]	regular
硬い [katai]	rigid
荒っぽい [aratupoi]	rough
丸い [marui]	round
恙無い [tsutsuganai]	safe
同じ [onnaji]	same
窃か [hisoka]	secret
重重しい [omoomoshii]	serious
いくつか [ikutsuka]	several
短い [mijikai]	short
黙黙 [mokumoku]	silent
軽易 [keii]	simple
小さい [chiisai]	small
水っぽい [mizutupoi]	sparse
格別 [kakubetsu]	special
四角い [shikakui]	square
粘っこい [nebatukoi]	sticky
しゃれた [shiyareta]	stylish
甘い [umai]	sweet
濃い [koi]	thick
薄い [usui]	thin
きつい [kitsui]	tight
醜い [minikui]	ugly
以下 [ika]	under
普通でない [futsuudenai]	unusual
ありふれた [arifureta]	usual
区々 [machimachi]	various
暖い [atutakai]	warm
湿った [shimetuta]	wet
全部 [zenbu]	whole
