Japanese	﻿English
上 [uwa]	above
再び [futatabi]	again
ほとんど [hotondo]	almost
すでに [sudeni]	already
いつも [itsumo]	always
ほぼ [hobo]	approximately
前 [zen]	before
すぐに [suguni]	directly
十分 [jiyuubun]	enough
まさに [masani]	exactly
最前 [saizen]	first
概して [gaishite]	generally
しかし [shikashi]	however
直ちに [tadachini]	immediately
本当に [hontouni]	indeed
内 [uchi]	inside
その代わり [sonokawari]	instead
遅い [osoi]	late
小さい [chiisai]	little
ただ [tada]	merely
金輪際 [konrinzai]	never
明らか [akiraka]	obviously
しばしば [shibashiba]	often
一度 [ichido]	once
特に [tokuni]	particularly
たぶん [tabun]	possibly
たぶん [tabun]	probably
速く [hayaku]	quickly
実際に [jitusaini]	really
とても [totemo]	really
最近 [saikin]	recently
ゆっくり [yutukuri]	slowly
時々 [tokidoki]	sometimes
すぐに [suguni]	soon
まだ [mada]	still
大した [taishita]	such
確かに [tashikani]	surely
その時 [sonotoki], そのとき [sonotoki]	then
そら [sora]	there
その為 [sonotame]	therefore
オーブントースター	today
一緒に [itushiyoni]	together
明日 [miyounichi]	tomorrow
今夜 [konya]	tonight
また [mata]	too
ふつう [futsuu]	usually
とても [totemo]	very
うまく [umaku]	well
