English	Japanese
be	ある [aru]
begin	始める [hajimeru]
break	こわす [kowasu]
buy	買う [kau]
close	閉める [shimeru]
come	来る [kuru]
cut	切る [kiru]
dance	踊る [odoru]
do	用いる [mochiiru]
draw	描く [kaku]
drink	飲む [nomu]
eat	食べる [taberu]
fall	落ちる [ochiru]
find	見つける [mitsukeru]
fire	撃つ [utsu]
fly	飛ぶ [tobu]
follow	ついていく [tsuiteiku]
forget	忘れる [wasureru]
get	得る [uru]
give	与える [ataeru]
have	生む [umu]
hear	聞く [kiku]
help	手伝う [tetsudau]
hope	望む [nozomu]
jump	はずむ [hazumu]
laugh	笑う [warau]
learn	学ぶ [manabu]
lie	横たわる [yokotawaru]
like	好きだ
listen	聞く [kiku]
look	見る [miru]
lose	失う [ushinau]
love	愛する [aisuru]
meet	出会う [deau]
move	動く [ugoku]
need	取る [toru]
offer	申し出る [moushideru]
open	開ける [hirakeru]
pay	支払う [shiharau]
play	遊ぶ [asubu]
pull	引く [hiku]
push	押す [osu]
put	置く [oku]
read	読む [yomu]
remember	思い出す [omoidasu]
run	走る [hashiru]
say	言う [yuu]
sell	売る [uru]
sing	歌う [utau]
sit	すわる [suwaru]
smile	ほほえむ [hohoemu]
take	取る [toru]
talk	しゃべる [shiyaberu]
understand	飲み込む [nomikomu]
use	用いる [mochiiru]
wait	待つ [matsu]
write	書く [kaku]
accept	受取る [uketoru]
accuse	罪する [tsumisuru]
achieve	なしとげる [nashitogeru]
add	寄せる [yoseru]
admit	認める [shitatameru]
affect	差し響く [sashihibiku]
agree	同じる [doujiru]
allow	許す [yurusu]
announce	知らせる [shiraseru]
argue	言い合う [iiau]
arrive	来る [kuru]
ask	尋ねる [tazuneru]
attack	襲う [osou]
avoid	避ける [yokeru]
be	暮らす [kurasu]
bear	運ぶ [hakobu]
beat	倒す [taosu]
bring	齎らす [motarasu]
build	建てる [tateru]
call	呼び出す [yobidasu]
carry	運ぶ [hakobu]
catch	受け止める [uketomeru]
cause	来たす [kitasu]
change	変わる [kawaru]
choose	選ぶ [erabu]
classify	並べ替え [narabekae]
compare	たとえる [tatoeru]
contain	含む [kukumu]
continue	続ける [tsuzukeru]
control	制する [seisuru]
copy	コピー, 転送
crush	押しつぶす [oshitsubusu]
cry	泣く [naku]
decide	決める [kimeru]
describe	画く [kaku]
design	仕組む [shikumu]
desire	欲する [hotusuru]
die	死ぬ [shinu]
discuss	論じる [ronjiru]
divide	割る [waru]
doubt	疑う [utagau]
embrace	含む [kukumu]
encourage	励ます [hagemasu]
end	終える [oeru]
enhance	高める [takameru]
enjoy	楽しむ [tanoshimu]
enter	入る [iru]
establish	設ける [moukeru]
estimate	見積もる [mitsumoru]
exceed	超える [koeru]
expect	求める [motomeru]
fight	戦う [tatakau]
fill	満たす [mitasu]
find	見つける [mitsukeru]
finish	仕上げる [shiageru]
forgive	許す [yurusu]
free	許す [yurusu]
grow	育つ [sodatsu]
happen	起こる [okoru]
hate	憎む [nikumu]
hide	隠す [kakusu]
include	含む [kukumu]
increase	増える [fueru]
injure	傷付ける [kizutsukeru]
join	つなぐ [tsunagu]
keep	つかむ [tsukamu]
kick	ける [keru]
kill	殺す [korosu]
last	もつ [motsu]
lead	導く [michibiku]
leave	任せる [makaseru]
lift	上げる [ageru]
limit	限る [kagiru]
look	見える [mieru]
lose	失う [ushinau]
manage	取り計らう [torihakarau]
marry	縁付く [enzuku]
match	合う [ou]
mean	志す [kokorozasu]
measure	測る [hakaru]
mention	述べる [noberu]
miss	見過す [misugosu]
name	呼ぶ [yobu]
order	言い渡す [iiwatasu]
own	擁する [yousuru]
pass	on 引き渡す [hikiwatasu]
polish	磨く [migaku]
prepare	調える [totonoeru]
press	押しつける [oshitsukeru]
prevent	防ぐ [fusegu]
print	刷る [suru]
process	扱う [atsukau]
prove	証拠立てる [shiyoukodateru]
publish	発行 [hatukou]
raise	育てる [sodateru]
reach	着く [tsuku]
receive	受取る [uketoru]
record	書き記す [kakishirusu]
reduce	切り下げる [kirisageru]
reflect	映す [utsusu]
refuse	断わる [kotowaru]
remove	取り除く [torinozoku]
render	返す [kaesu]
reply	答える [kotaeru]
report	届け出る [todokederu]
represent	表わす [arawasu]
request	頼む [tanomu]
respect	敬う [uyamau]
reveal	明らかにする [akirakanisuru]
risk	賭ける [kakeru]
rule	治める [osameru]
save	貯める [tameru]
save	救い出す [sukuidasu]
see	見る [miru]
see	眺める [nagameru]
send	送る [okuru]
serve	勤める [tsutomeru]
sew	縫う [nuu]
shout	叫ぶ [sakebu]
show	見せる [miseru]
smell	匂う [niou]
smell	臭う [niou]
spend	過ごす [sugosu]
stand	立つ [tatsu]
stay	居残る [inokoru]
steal	盗む [nusumu]
stop	止める [yameru]
study	学ぶ [manabu]
suffer	耐え忍ぶ [taeshinobu]
suggest	言い出す [iidasu]
supply	備える [sonaeru]
taste	舐める [nameru]
teach	教える [oshieru]
test	試みる [kokoromiru]
throw	投げる [nageru]
train	仕込む [shikomu]
travel	行く [yuku]
treat	扱う [atsukau]
try	試みる [kokoromiru]
turn	回す [mawasu]
visit	訪れる [otozureru]
walk	歩く [aruku]
warm	暖める [atatameru]
wash	洗う [arau]
watch	眺める [nagameru]
wear	履く [haku]
win	勝つ [katsu]
wish	望む [nozomu]