Thai	﻿English
นิโกร	black
สีน้ำตาล	brown
สีเทา	gray
ยังไม่สุก	green
ออเรนจ์	orange
ซึ่งมีสีชมพู	pink
สีม่วง	violet
ซีด	white
สีเหลือง	yellow
แปด	eight
สิบเอ็ด	eleven
ห้า	five
หนึ่งล้าน	million
เก้า	nine
การไม่มีอะไร	nothing
หนึ่ง (nèung)	one
หก	six
หกสิบ	sixty
สิบ (sìp)	ten
สิบสาม	thirteen
หนึ่งพัน	thousand
หนึ่งพัน	thousand
สาม	three
ยี่สิบ (yèè sip)	twenty
สอง (sááwng)	two
แขน	arm
หลัง	back
เลือด	blood
ลำตัว	body
กระดูก	bone
สมอง	brain
ลมหายใจ	breath
เซลล์	cell
ทรวงอก	chest
คาง	chin
ได้ยิน	ear
ตา	eye
ใบหน้า	face
นิ้วมือ	finger
เท้า	foot
หน้าผาก	forehead
ยีน	gene
ผม	hair
ผม	hair
มือ	hand
ศีรษะ	head
หัวใจ	heart
หัวเข่า	knee
ขา	leg
ริมฝีปาก	lip
ปาก	mouth
กล้ามเนื้อ	muscle
เล็บ	nail
ลำคอ	neck
เส้นประสาท	nerve
จมูก	nose
ผิวหนัง	skin
กระเพาะ	stomach
ช่องคอ	throat
นิ้วหัวแม่มือ	thumb
ลิ้น	tongue
ฟัน	tooth
มด	ant
หมี	bear
ผึ้ง	bee
นก	bird
แมว	cat
วัวตัวเมีย	cow
สุนัข	dog
ช้าง	elephant
ปลา	fish
แพะ	goat
ม้า	horse
แมลง	insect
สิงโต	lion
ลิง	monkey
หมู	pig
แกะ	sheep
งู	snake
ตอนบ่าย	afternoon
เมษายน	April
เดือนสิงหาคม	August
ฤดูใบไม้ร่วง	autumn
การพบปะของผู้สำเร็จการศึกษา	beginning
ศตวรรษ	century
วัน	date
วัน	day
ธันวาคม	December
ตอนเย็น	evening
กุมภาพันธ์	February
วันศุกร์	Friday
ชั่วโมง	hour
มกราคม	January
กรกฎาคม	July
มิถุนายน	June
เดือนพฤษภาคม	May
เวลาเที่ยงคืน	midnight
นาที	minute
ทันทีทันใด	moment
วันจันทร์	Monday
เดือน (deuuan)	month
ตอนเช้า	morning
กลางคืน	night
พฤศจิกายน	November
ตอนนี้	now
ตุลาคม	October
เวลาพัก	pause
ระยะเวลา	period
วันเสาร์	Saturday
วินาที	second
กันยายน	September
ฤดูใบไม้ผลิ	spring
ฤดูร้อน	summer
วันอาทิตย์	Sunday
วันพฤหัสบดี	Thursday
วันอังคาร	Tuesday
วันพุธ	Wednesday
สัปดาห์	week
วันสุดสัปดาห์	weekend
ชั่วขณะหนึ่ง	while
ฤดูหนาว	winter
ปี	year
ขนมปัง	bread
อาหารเช้า	breakfast
เนย	butter
เค้ก	cake
เนยแข็ง	cheese
ช็อกโกแลต	chocolate
ไข่	egg
อาหาร	food
ผลไม้	fruit
มื้อ	meal
เนื้อสัตว์	meat
น้ำมัน	oil
เกลือ	salt
แซนด์วิช	sandwich
น้ำแกง	soup
น้ำตาล	sugar
ความน่ารัก	sweet
เบียร์	beer
กาแฟ	coffee
เครื่องดื่ม	drink
นม	milk
เครื่องดื่มปั่น ประกอบด้วยนมและไอศรีม	milkshake
ชา	tea
น้ำ	water
เหล้าไวน์	wine
เอพริคอต	apricot
กล้วย	banana
แบล็คเบอรี่	blackberry
เชอร์รี่	cherry
ผลไม้แห้งเปลือกแข็ง	nut
ต้นส้ม	orange
ลูกพีช	peach
ถั่วลิสง	pear
สับปะรด	pineapple
ลูกพลัม	plum
แรสเบอร์รี	raspberry
สตรอเบอร์รี่	strawberry
ถั่ว	bean
ผักจำพวกกะหล่ำปลี	cabbage
แครอท	carrot
แตงกวา	cucumber
กระเทียม	garlic
ไม่หยุดยั้ง	onion
ราก	parsnip
มันฝรั่ง	potato
หัวไชเท้า	radish
มะเขือเทศ	tomato
วันเกิด	birthday
พี่ชายหรือน้องชาย	brother
ลูกสาว	daughter
ความตาย	death
ตระกูล	family
บิดา	father
เพื่อน	friend
เด็กผู้หญิง	girl
ปู่	grandfather
มนุษย์	human
สามี	husband
ผู้ชาย	man
การแต่งงาน	marriage
แม่	mother
เพื่อนบ้าน	neighbor
พ่อแม่	parent
มนุษย์	person
ความสัมพันธ์	relationship
น้องสาวหรือพี่สาว	sister
ลูกชาย	son
การแต่งงาน	wedding
ภรรยา	wife
ผู้หญิง	woman
อ้างเลขที่อยู่, เลขที่อยู่	address
ห้องน้ำ	bathroom
ห้องนอน	bedroom
อิฐ	brick
ประตู	door
พื้น	floor
ชั้นอาคาร	floor
โรงรถ	garage
สวน	garden
ประตูรั้ว	gate
บ้าน	home
บ้าน	house
ห้องครัว	kitchen
หลังคา	roof
ห้อง	room
การอาบน้ำฝักบัว	shower
ขั้นบันได	step
ห้องน้ำ	toilet
ฉาก	wall
บ่อน้ำ	well
หน้าต่าง	window
เตียง	bed
พรม	carpet
เก้าอี้	chair
ตู้	cupboard
ม่าน	curtain
โต๊ะ	desk
เครื่องเรือน	furniture
หิ้ง	shelf
อ่างล้างจาน	sink
โต๊ะ	table
กระเป๋า	bag
ผ้า	cloth
เสื้อผ้า	clothing
เสื้อคลุม	coat
ปกเสื้อ	collar
หมวก	hat
เพชรพลอย	jewel
แหวน	ring
เสื้อเชิ้ต	shirt
รองเท้า	shoe
ชายเสื้อ	skirt
ถุงเท้า	sock
กระเป๋าเดินทาง	suitcase
เน็กไท	tie
อากาศ	air
สัตว์	animal
กิ่งก้าน	branch
วิวัฒนาการ	evolution
ที่เพาะปลูกและเลี้ยงสัตว์	farm
ทุ่งนา	field
เปลวไฟ	fire
ดอกไม้	flower
ป่าไม้	forest
หญ้า	grass
ใบไม้	leaf
ชีวิต	life
ฟ้าแลบ	lightning
ความชื้น	moisture
ธรรมชาติ	nature
พืช	plant
ราก	root
เพศ	sex
ท้องฟ้า	sky
การหลับ	sleep
กลิ่น	smell
ควัน	smoke
แหล่งกำเนิด	spring
ลำต้น	stem
กระแสน้ำ	stream
ต้นไม้	tree
คลื่น	wave
สภาพอากาศ	weather
โลก	world
สนามบิน	airport
ธนาคาร	bank
สะพาน	bridge
สิ่งก่อสร้าง	building
เมืองหลวง	capital
ปราสาท	castle
โบสถ์	church
โรงภาพยนตร์	cinema
เมือง	city
โรงงาน	factory
ห้องชุด	flat
โรงพยาบาล	hospital
โรงแรม	hotel
ไลบรารี	library
สวนสาธารณะ	park
คุก	prison
ร้านอาหาร	restaurant
ถนน	road
โรงเรียน	school
สถานีย่อย	station
ถนน	street
การก่อสร้าง	structure
รถไฟใต้ดิน	subway
ร้านขายของขนาดใหญ่ที่ผู้ซื้อเลือกหยิบของเอง	supermarket
โรงละคร	theater
เขตเมือง	town
มหาวิทยาลัย	university
อุบัติเหตุ	accident
เรือ	boat
รถโดยสารประจำทาง	bus
รถยนต์	car
การบิน	flight
การเดินทาง	journey
ผู้โดยสาร	passenger
เครื่องบิน	plane
เรือขนาดใหญ่	ship
รางรถไฟ	track
รถไฟ	train
นักแสดง	actor
นักธุรกิจ	businessman
ผู้เชี่ยวชาญ	expert
นักข่าว	journalist
ผู้พิพากษา	judge
รัฐมนตรี	minister
นักดนตรี	musician
ช่างภาพ	photographer
นักบิน	pilot
ตำรวจ	policeman
นักการเมือง	politician
ประธานาธิบดี	president
ตัวแทน	representative
กะลาสี	sailor
นักวิทยาศาสตร์	scientist
เลขานุการ	secretary
คนรับใช้	servant
ทหาร	soldier
นักเขียน	writer
ชายหาด	beach
ทิศทาง	direction
โลก	Earth
ทิศตะวันออก	east
เกาะ	island
ทะเลสาบ	lake
พื้นดิน	land
แผนที่	map
แสงจันทร์	Moon
ทิศเหนือ	north
แม่น้ำ	river
ทะเล	sea
ทิศใต้	south
ดวงดาว	star
ดวงอาทิตย์	sun
ทิศตะวันตก	west
กลุ่มควัน	cloud
หมอก	fog
น้ำค้างแข็ง	frost
ฝน	rain
รุ้ง	rainbow
หิมะ	snow
พายุ	storm
ฟ้าร้อง	thunder
ลม	wind
กรด	acid
คุณสมบัติทางเคมี	chemical
element ธาตุเคมี	chemical
ถ่านหิน	coal
ฝุ่น	dust
โลก	earth
น้ำมัน	fat
กระจก	glass
กาว	glue
เครื่องมือที่ทำด้วยเหล็ก	iron
หนัง	leather
ของเหลว	liquid
วัตถุ	matter
element โลหะ	metallic
ปิโตรเลียม	oil
ยาพิษ	poison
ทราย	sand
เส้นไหม	silk
สบู่	soap
เหล็ก	steel
ทำด้วยไม้	wood
ตะกร้า	basket
ขวด	bottle
กล่อง	box
กระป๋อง	can
ลิ้นชัก	drawer
ส่วนหัว	envelope
จาน	plate
ระฆัง	bell
ปืน	gun
ค้อน	hammer
ตะขอ	hook
กุญแจ	key
แม่กุญแจ	lock
ไม้ขีดไฟ	match
ตะปู	nail
เข็ม	needle
ปั๊มน้ำ	pump
เชือก	rope
กรรไกร	scissors
ตราประทับ	stamp
แส้	whip
การบวก	addition
มุม	angle
พื้นที่	area
รูปวงกลม	circle
เส้นโค้ง	curve
ระยะทาง	distance
การแบ่งแยก	division
ขอบ	edge
อีลิเมนต์	element
หน้าที่	function
ขอบเขต	limit
แถวหน้า	line
แห	net
อัตราร้อยละ	percent
จุด	point
หน้าที่	purpose
ผล	result
กฎข้อบังคับ	rule
เซต	set
ข้าง	side
สี่เหลี่ยมจัตุรัส	square
จำนวน	total
ความสามารถ	ability
การกระทำ	act
แอคชัน	action
ความคล่องแคล่ว	activity
Add-on	addition
การโจมตี	attack
ความพยายาม	attempt
ด้านหลัง	back
พฤติกรรม	behavior
การตี	blow
การหยุด	break
การรณรงค์	campaign
คดีความ	case
โอกาส	chance
การเปลี่ยนแปลง	change
การเลือก	choice
สภาพ	condition
ตัวเชื่อมต่อ	connection
รอยแตก	crack
ความเสียหาย	damage
เครื่องประดับ	decoration
การทำลาย	destruction
การทุ่มเท	effort
ตก	fall
ลักษณะเฉพาะ	feature
การต่อสู้	fight
ด้านหน้า	front
การตี	hit
รู	hole
การเจริญเติบโต	increase
อินเทอร์เน็ต	internet
การเตะ	kick
รูปแบบ	kind
นอต	knot
บัญชีรายชื่อ	list
ส่วนใหญ่	majority
สาร	matter
สติปัญญา	mind
การดำเนินการ	operation
การเกิดขึ้นอย่างรุนแรงและทันทีทันใด	outburst
ส่วน	part
ชิ้น	piece
สถานที่	place
พลัง	power
งานหนัก	project
คุณสมบัติ	property
คุณภาพ	quality
ความสงบ	quiet
ความรับผิดชอบ	responsibility
ความสงบ	rest
การปีน	rise
การเสี่ยงภัย	risk
ความเงียบ	silence
สถานการณ์	situation
สภาพ	state
ฝีเท้า	step
จุดสูงสุด	top
การดูแล	treatment
เล่ห์เหลี่ยม	trick
รูปแบบ	type
วิธีการใช้	use
ความต้องการ	wish
ศิลปะ	art
ศิลปิน	artist
วงดนตรี	band
สี	color
คอนเสิร์ต	concert
แบบ	design
ความหลากหลาย	diversity
กิจกรรมที่ให้ความบันเทิง	entertainment
การตี	hit
น้ำหมึก	ink
รูปแบบ	manner
ภาพยนตร์	movie
พิพิธภัณฑ์	museum
ดนตรี	music
โน้ตดนตรี	note
วงดนตรีขนาดใหญ่ที่เล่นเพลงคลาสสิค	orchestra
สี	paint
ภาพวาด	painting
กระดาษ	paper
ปากกา	pen
ดินสอ	pencil
อิมเมจ	picture
บทกวี	poem
บทกวี	poetry
จังหวะ	rhythm
นักร้อง	singer
เพลง	song
เวที	stage
รูปแบบ	style
ความนิยม	vogue
บัญชีเงินฝาก	account
ข้อได้เปรียบ	advantage
โฆษณา	advertisement
ความสนใจ	attention
ผู้ที่รอบรู้	authority
ธนบัตร	banknote
การเจรจาต่อรอง	bargain
ร้าน	business
ทุน	capital
เหรียญ	change
เช็ค	cheque
คณะกรรมการ	committee
การแข่งขัน	competition
ข้อกล่าวหา	complaint
ต้นทุน	cost
ลูกค้า	customer
ความต้องการ	demand
แผนก	department
ความยากลำบาก	difficulty
สภาพแวดล้อม	environment
ความชำนาญ	experience
บริษัท	firm
ฟอร์ม	form
กลุ่ม	group
ความช่วยเหลือ	help
ช่วงปิดภาคเรียน	holiday
รายได้	income
อุตสาหกรรม	industry
การประกันภัย	insurance
ดอกเบี้ย	interest
ใบแจ้งหนี้	invoice
การงาน	job
วันหยุด	leave
การควบคุม	management
เครื่องหมาย	mark
ตลาด	market
วัตถุ	material
ตัวกลาง	mean
การประชุม	meeting
เงิน	money
อาชีพ	occupation
ข้อเสนอ	offer
เจ้าของ	owner
แผนการ	plan
ราคา	price
คำถาม	problem
ผลิตภัณฑ์	product
กำไร	profit
ทรัพย์สิน	property
ราคา	rate
ส่วนที่เหลืออยู่	rest
ค่าตอบแทน	reward
สิทธิ	right
การขาย	sale
การช่วย	service
ฝีมือ	skill
คณะผู้ทำงาน	staff
การช่วยเหลือ	support
ตาราง	table
ภาษี	tax
กลุ่มคนทำงานหรือเล่นกีฬาในกลุ่มเดียวกัน	team
การค้าขาย	trade
มูลค่า	value
ผู้ใช้แรงงาน	worker
การประกาศ	announcement
คำตอบ	answer
การอนุมัติ	approval
เหตุผล	argument
หนังสือ	book
การเรียกสาย	call
การโต้แย้ง	controversy
การตะโกน	cry
ข้อมูล	data
การตัดสินใจ	decision
พจนานุกรม	dictionary
การปรึกษาหารือ	discussion
ความสงสัย	doubt
ประสบการณ์	experience
ความรัก	feeling
ความคิด	idea
ความสนใจ	interest
การสัมภาษณ์	interview
ภาษา	language
ภาษา	language
ตัวอักษร	letter
จดหมาย	letter
การมอง	look
นิตยสาร	magazine
จดหมาย	mail
ความจำ	memory
ความทรงจำ	memory
ความผิดพลาด	mistake
ชื่อ	name
หนังสือพิมพ์	newspaper
จำนวน	number
ความเห็น	opinion
เพจ	page
การออกเสียง	pronunciation
ข้อเสนอ	proposal
การประท้วง	protest
ปัญหา	question
เหตุผล	reason
การติดต่อกัน	relation
การขอร้อง	request
ประโยค	sentence
การพูด	speech
การสะกดคำ	spelling
เกณฑ์	standard
แถลงการณ์ (tà-lăeng gaan)	statement
หัวข้อ	subject
ข้อเสนอ	suggestion
เสียงพูด	voice
คำ	word
การเขียน	writing
day สวัสดี (sàwàtdee)	good
luck โชคดี (chokh dī!)	good
สวัสดีครับ (sàwàtdee kráp) (m), สวัสดีค่ะ (sàwàtdee kâ) (f)	hello
are you สบายดีไหม (sàbaay dii mǎay?), เป็นอย่างไรบ้าง (bpen yàang rai bâang?)	how
GB	Britain
จีน	China
Republic สาธารณรัฐเช็ก	Czech
สาธารณรัฐฝรั่งเศส	France
สหพันธ์สาธารณรัฐเยอรมนี	Germany
สาธารณรัฐอินเดีย	India
อิตาลี	Italy
ญี่ปุ่น	Japan
ราชอาณาจักรสเปน	Spain
States of America สหรัฐอเมริกา	United
กล้องถ่ายภาพ	camera
กล้องถ่ายรูป	camera
phone โทรศัพท์มือถือ	cellular
นาฬิกา	clock
คอมพิวเตอร์	computer
ลิฟต์	elevator
เครื่องจักร	engine
เครื่องดนตรี	instrument
เครื่องจักร	machine
เตาอบ	oven
เครื่องรับโทรทัศน์	television
นาฬิกาข้อมือ	watch
ชนชั้น	class
การศึกษา	education
คะแนน	grade
ความรู้	knowledge
นักศึกษา	student
ผู้สอน	teacher
ความกลัว	fear
ความเกลียดชัง	hate
ความรัก	love
ความยินดี	pleasure
การปกป้อง	care
ไข้หวัด	cold
การไอ	cough
โรค	disease
แพทย์	doctor
สุขภาพ	health
ประจำเดือน	menstruation
พยาบาล	nurse
การดำเนินการ	operation
ความเจ็บปวด	pain
ผู้ป่วย	patient
รอยเย็บ	stitch
ใบมีด	blade
การ์ด	card
ขนนก	feather
ธง	flag
กรอบ	frame
ที่จับ	handle
ถั่ว	nut
ท่อ	pipe
ค่าส่งของทางไปรษณีย์	postage
ของขวัญ	present
ใบเรือ	sail
ม้วน	scroll
ไม้เท้า	stick
ก้อนหิน	stone
ตั๋ว	ticket
ล้อ	wheel
ลวด	wire
ความจุ	bulk
ประจุไฟฟ้า	charge
กำลัง	energy
พิจารณา	light
ปริมาณมาก	mass
การวัด	measurement
กระจก	mirror
การเคลื่อนไหว	movement
ขนาดใหญ่	size
เสียง	sound
ไอน้ำ	steam
กำลัง	strength
ช่วงเวลา	time
หน่วยการวัด	unit
น้ำหนัก	weight
เพื่อนชาย	boyfriend
การนัดหมาย	date
ที่รัก	honey
การจูบ	kiss
งานเลี้ยง	party
เซ็กส์	sex
รอยยิ้ม	smile
ชีววิทยา	biology
เคมี	chemistry
การเปรียบเทียบ	comparison
ผล	consequence
การควบคุม	control
การฝึกฝน	discipline
ค้นพบ	discovery
เหตุการณ์ที่เกิดขึ้น	event
ตัวอย่าง	example
ประเด็น	issue
แก่น	kernel
วิธี	method
ช่วง	phase
ขั้นตอน	procedure
กำหนดการ	program
แผนงาน	project
ขอบเขต	range
การวิจัย	research
การไต่สวน	research
วิทยาศาสตร์	science
สังคม	society
ระบบ	system
เทคโนโลยี	technology
ทฤษฎี	theory
ความโน้มเอียง	trend
ปัญหา	trouble
ผู้ใช้	user
กองทัพบก	army
สโมสร	club
ความเป็นเพื่อน	company
การดิ้นรน	contest
ประเทศ	country
ศาล	court
การกระทำผิดกฎหมาย	crime
วัฒนธรรม	culture
สาธารณรัฐ	democracy
การปกครอง	dominion
การเลือกตั้ง	election
การดำรงอยู่	existence
รัฐบาล	government
ประวัติศาสตร์	history
บุคคล	individual
สถาบัน	institution
กษัตริย์	king
สมาชิก	member
ประเทศ	nation
