English	Thai
black	นิโกร
brown	สีน้ำตาล
gray	สีเทา
green	ยังไม่สุก
orange	ออเรนจ์
pink	ซึ่งมีสีชมพู
violet	สีม่วง
white	ซีด
yellow	สีเหลือง
eight	แปด
eleven	สิบเอ็ด
five	ห้า
million	หนึ่งล้าน
nine	เก้า
nothing	การไม่มีอะไร
one	หนึ่ง (nèung)
six	หก
sixty	หกสิบ
ten	สิบ (sìp)
thirteen	สิบสาม
thousand	หนึ่งพัน
thousand	หนึ่งพัน
three	สาม
twenty	ยี่สิบ (yèè sip)
two	สอง (sááwng)
arm	แขน
back	หลัง
blood	เลือด
body	ลำตัว
bone	กระดูก
brain	สมอง
breath	ลมหายใจ
cell	เซลล์
chest	ทรวงอก
chin	คาง
ear	ได้ยิน
eye	ตา
face	ใบหน้า
finger	นิ้วมือ
foot	เท้า
forehead	หน้าผาก
gene	ยีน
hair	ผม
hair	ผม
hand	มือ
head	ศีรษะ
heart	หัวใจ
knee	หัวเข่า
leg	ขา
lip	ริมฝีปาก
mouth	ปาก
muscle	กล้ามเนื้อ
nail	เล็บ
neck	ลำคอ
nerve	เส้นประสาท
nose	จมูก
skin	ผิวหนัง
stomach	กระเพาะ
throat	ช่องคอ
thumb	นิ้วหัวแม่มือ
tongue	ลิ้น
tooth	ฟัน
ant	มด
bear	หมี
bee	ผึ้ง
bird	นก
cat	แมว
cow	วัวตัวเมีย
dog	สุนัข
elephant	ช้าง
fish	ปลา
goat	แพะ
horse	ม้า
insect	แมลง
lion	สิงโต
monkey	ลิง
pig	หมู
sheep	แกะ
snake	งู
afternoon	ตอนบ่าย
April	เมษายน
August	เดือนสิงหาคม
autumn	ฤดูใบไม้ร่วง
beginning	การพบปะของผู้สำเร็จการศึกษา
century	ศตวรรษ
date	วัน
day	วัน
December	ธันวาคม
evening	ตอนเย็น
February	กุมภาพันธ์
Friday	วันศุกร์
hour	ชั่วโมง
January	มกราคม
July	กรกฎาคม
June	มิถุนายน
May	เดือนพฤษภาคม
midnight	เวลาเที่ยงคืน
minute	นาที
moment	ทันทีทันใด
Monday	วันจันทร์
month	เดือน (deuuan)
morning	ตอนเช้า
night	กลางคืน
November	พฤศจิกายน
now	ตอนนี้
October	ตุลาคม
pause	เวลาพัก
period	ระยะเวลา
Saturday	วันเสาร์
second	วินาที
September	กันยายน
spring	ฤดูใบไม้ผลิ
summer	ฤดูร้อน
Sunday	วันอาทิตย์
Thursday	วันพฤหัสบดี
Tuesday	วันอังคาร
