Indonesian	﻿English
yang lain	another
buruk	bad
dasar	basic
cantik	beautiful
paling baik	best
lebih baik	better
besar	big
bersih	clean
dingin	cold
betul	correct
gelap	dark
sulit	difficult
curang	dirty
cepat	fast
sangat sopan	good
besar	great
menyenangkan	great
bahagia	happy
sehat	healthy
berat	heavy
tinggi	high
panas	hot
penting	important
kiri	left
ringan	light
dekat	near
baru	new
menyenangkan	nice
buka	open
benar-benar ada	real
kanan	right
tajam	sharp
lambat	slow
empuk	soft
keras	strong
lemah	weak
salah	wrong
asam	acid
setelah, sesudah	after
berselang	ago
semua	all
mana saja	any
bekerja sendiri	automatic
tersedia	available
pahit	bitter
membosankan	boring
dua/keduanya	both
patah	broken
inti	central
pasti	certain
murah	cheap
kimiawi	chemical
cerah	clear
tertutup	closed
biasa	common
sama	common
lengkap	complete
sadar	conscious
kejam	cruel
berbahaya	dangerous
halus	delicate
sedih	deplorable
tidak sama	different
tidak serupa	different
menuruni	down
kering	dry
setiap	each
dini	early
mudah	easy
mengenai ekonomi	economic
irit	economic
listrik	electric
sama	equal
genap	even
sama kuat	even
setiap	every
bagus sekali	excellent
tidak benar	fake
salah (1), palsu / buat/buatan (2)	false
jauh	far
gemuk	fat
berlimpah	fat
tidak banyak	few
pasti	final
yang berhubungan dengan keuangan	financial
mantap	firm
datar	flat
berikutnya	following
asing	foreign
dulu	former
mudah pecah	fragile
cuma-cuma	free
sering	frequent
segar	fresh
penuh	full
keseluruhan	full
lebih jauh	further
bentuk mendatang	future
umum	general
untuk industri	industrial
menarik	interesting
internasional	international
terakhir	last
terlambat	late
legal	legal
cair	liquid
lokal	local
keras	loud
rendah	low
mujur	lucky
utama	main
besar	major
banyak	many
dari logam	metal
militer	military
kecil	minute
modern	modern
lebih	more
banyak	much
sempit	narrow
alami	natural
perlu	necessary
berdampingan	next
tidak ada	no
normal	normal
seberang	opposite
asli	original
lain	other
milik	own
sejajar	parallel
istimewa	particular
yang lalu	past
pribadi	personal
badaniah	physical
politik	political
miskin	poor
populer	popular
mungkin	possible
hadir	present
sebelumnya	previous
pribadi	private
bisa terjadi	probable
profesional	professional
publik	public
diam	quiet
siap	ready
mutakhir	recent
teratur	regular
bertanggung jawab	responsible
kaku	rigid
kasar	rough
bundar	round
aman	safe
sama	same
kedua	second
rahasia	secret
terpisah	separate
serius	serious
menata sebelumnya	set
beberapa	several
pendek	short
sunyi	silent
mudah	simple
satu-satunya	single
kecil	small
halus	smooth
padat	solid
jarang	sparse
istimewa	special
khusus	specific
segi empat	square
normal	standard
lengket	sticky
lurus	straight
aneh	strange
anggun	stylish
mendadak	sudden
manis	sweet
tinggi	tall
kental	thick
tipis	thin
ketat	tight
benar	true
jelek	ugly
di bawah	under
biasa	usual
berbeda	various
hangat	warm
basah	wet
seluruh	whole
