Hindi	﻿English
होना [honaa]	be
बांटना [baantanaa]	break
खरीदना [khareedanaa]	buy
बन्द हो जाना [band ho jaanaa]	close
आना [aanaa]	come
चीरना [cheeranaa]	cut
नृत्य करना [nruty karanaa]	dance
व्यवहार में लाना [vyavahaar men laanaa]	do
चित्र बनाना [chitr banaanaa]	draw
पीना [peenaa]	drink
खाना [khaanaa]	eat
गिरना [giranaa]	fall
पाना [paanaa]	find
गोली चलाना [golee chalaanaa]	fire
उड़ाना [udaanaa]	fly
अनुसरण करना [anusaran karanaa]	follow
भूल जाना [bhool jaanaa]	forget
देना [denaa]	give
सुनना [sunanaa]	hear
मदद करना [madad karanaa]	help
आशा करना [aashaa karanaa]	hope
उछलना [uchhalanaa]	jump
चूमना [choomanaa]	kiss
हंसना [hansanaa]	laugh
सीखना [seekhanaa]	learn
लेटना [letanaa]	lie
पसंद करना [pasand karanaa]	like
सुनाई देना [sunaaee denaa]	listen
देखना [dekhanaa]	look
मिट जाना [mit jaanaa]	lose
पसन्द करना [pasand karanaa]	love
करना (karnā)	make
सामना होना [saamanaa honaa]	meet
चलना [chalanaa]	move
मांगना [maanganaa]	need
प्रदान करना [pradaan karanaa]	offer
खोलना [kholanaa]	open
दाम चुकाना [daam chukaanaa]	pay
खेलना [khelanaa]	play
खींचना [kheenchanaa]	pull
दबाना [dabaanaa]	push
रखना [rakhanaa]	put
पढ़ना	read
याद आना [yaad aanaa]	remember
दौड़ाना [daudaanaa]	run
कहना [kahanaa]	say
बेचना [bechanaa]	sell
गाना गाना [gaanaa gaanaa]	sing
बैठना [baithanaa]	sit
मुस्कराना [muskaraanaa]	smile
लेना [lenaa]	take
कहना [kahanaa]	talk
समझना [samajhanaa]	understand
प्रयोग में लाना [prayog men laanaa]	use
प्रतीक्षा करना [prateekshaa karanaa]	wait
लिखना [likhanaa]	write
स्वीकार करना [sveekaar karanaa]	accept
आरोप लगाना [aarop lagaanaa]	accuse
पूरा करना [pooraa karanaa]	achieve
काम करना [kaam karanaa]	act
जोड़ना [jodanaa]	add
स्वीकार करना [sveekaar karanaa]	admit
सहमत होना [sahamat honaa]	agree
संभव बनाना [sambhav banaanaa]	allow
घोषणा करना [ghoshanaa karanaa]	announce
बहस करना [bahas karanaa]	argue
पहुंचना [pahunchanaa]	arrive
पूछना [poochhanaa]	ask
धावा बोलना [dhaavaa bolanaa]	attack
से बचना [se bachanaa]	avoid
जीवित रहना [jeevit rahanaa]	be
ले जाना [le jaanaa]	bear
जीतना [jeetanaa]	beat
बनना [bananaa]	become
पहुंचाना	bring
बनाना [banaanaa]	build
टेलीफोन करना [teleephon karanaa]	call
ढोना [dhonaa]	carry
बदल देना [badal denaa]	change
चुनना [chunanaa]	choose
वर्गीकरण करना [vargeekaran karanaa]	classify
साफ करना [saaph karanaa]	clean
समानता [samaanataa]	compare
से युक्त होना [se yukt honaa]	contain
जारी रहना [jaaree rahanaa]	continue
पकाना [pakaanaa]	cook
प्रतिलिपि बनायें	copy
खांसना	cough
मसलना [masalanaa]	crush
रोना [ronaa]	cry
निर्णायक होना	decide
वर्णन करना [varnan karanaa]	describe
चाहना [chaahanaa]	desire
तस्वीर साफ करना	develop
मरना [maranaa]	die
खोजना करना	discover
चर्चा करना [charchaa karanaa]	discuss
विभाजन [vibhaajan]	divide
संदेह करना	doubt
हांकना [haankanaa]	drive
समावेश करना [samaavesh karanaa]	embrace
उत्साहित करना [utsaahit karanaa]	encourage
पूर्ण करना [poorn karanaa]	end
बढ़ाना [badhaanaa]	enhance
भीतर आना	enter
अंदाज लगाना	estimate
सिर से ऊपर चला जाना	exceed
