Hindi	﻿English
इधर-उधर [idhar-udhar]	about
ऊपर [oopar]	above
फिर से [phir se]	again
लगभग [lagabhag]	almost
समानान्तर [samaanaantar]	along
पहले से [pahale se]	already
हमेशा [hameshaa]	always
तकरीबन [takareeban]	approximately
जैसे [jaise]	as
के पीछे [ke peechhe]	behind
के बीच [ke beech]	between
सीधे [seedhe]	directly
प्रारंभ में [praarambh men]	early
दो में से कोई एक	either
पर्याप्त [paryaapt]	enough
ठीक-ठीक [theek-theek]	exactly
अंत में [ant men]	finally
आरम्भ में	first
इस समय [is samay]	here
इस स्थान पर	here
फिर भी [phir bhee]	however
सीधे [seedhe]	immediately
में [men]	in
सचमुच [sachamuch]	indeed
अंदर की ओर [andar kee or]	inside
के बदले में [ke badale men]	instead
देर रात [der raat]	late
कम से कम मात्रा में	least
छोटा [chhotaa]	little
केवल [keval]	merely
नहीं [naheen]	not
अभी [abhee]	now
स्पष्ट रूप से [spasht roop se]	obviously
एक बार [ek baar]	once
बाहर [baahar]	outside
विशेष रूप से [vishesh roop se]	particularly
शायद [shaayad]	possibly
संभवत [sambhavat]	probably
फुर्ती से	quickly
वास्तव में [vaastav men]	really
सचमुच [sachamuch]	really
हाल में [haal men]	recently
धीरे-धीरे [dheere-dheere]	slowly
वैसा	so
अक्सर [aksar]	sometimes
शीघ्रता से [sheeghrataa se]	soon
अभी तक [abhee tak]	still
ऐसा [aisaa]	such
अचानक (achānak)	suddenly
निश्चित रूप से [nishchit roop se]	surely
तब [tab]	then
इसलिए [isalie]	therefore
आज [aaj]	today
एक साथ [ek saath]	together
कल आने वाला	tomorrow
आज की रात [aaj kee raat]	tonight
भी [bhee]	too
लम्ब रूम में	usually
यथार्थ में	very
सही [sahee]	well
