Latin	﻿English
exsisto	be
inceptio	begin
quasso	break
redimo	buy
claudere	close
venire	come
exerceo	do
designo	draw
bibere	drink
edere	eat
cadere	fall
contrecto	feel
reperio	find
ardor	fire
no	fly
sequi	follow
affero	give
habere	have
subvenio	help
spero	hope
basiatio	kiss
ridere	laugh
discere	learn
recubo	lie
mentiri	lie
amo	like
auscultare	listen
spectare	look
amitto	lose
diligo	love
facesso	make
permoveo	move
peto	need
defero	offer
patefacio	open
pensito	pay
impressio	push
colloco	put
legere	read
currere	run
aio	say
exigo	sell
psallo	sing
incubare	sit
subridere	smile
natare	swim
loquor	talk
agnosco	understand
sumo	use
scribere	write
suscipio	accept
arguo	accuse
adaugeo	add
adaugeo	add
agnosco	admit
congruo	agree
sino	allow
denuntio	announce
advenio	arrive
scisco	ask
incurro	attack
declino	avoid
vivere	be
gero	bear
fio	become
autumo	believe
texo	build
advoco	call
veho	carry
mutatio	change
sumo	choose
abluo	clean
comparare	compare
persevero	continue
gubernatio	control
effingo	copy
frendo	crush
frendo	crush
fleo	cry
cerno	decide
demonstro	describe
opto	desire
confero	discuss
dubitare	doubt
complexo	embrace
desino	end
erigo	enhance
constituo	establish
exsisto	exist
exspecto	expect
expedio	explain
agon	fight
effercio	fill
reperio	find
exigo	finish
dimitto	forgive
eripio	free
up tradere	give
evenio	happen
contemno	hate
abdo	hide
possideo	hold
amplio	increase
vulnero	injure
induco	introduce
induco	introduce
committo	join
possideo	keep
caedo	kill
duro	last
moderor	lead
sino	let
erigo	lift
cataracta	lock
videor	look
amitto	lose
curo	manage
nubere	marry
laudo	mention
advoco	name
veneno	poison
tracto	process
arguo	prove
erigo	raise
adipiscor	reach
suscipio	receive
redigo	reduce
consulo	reflect
recuso	refuse
abrogo	remove
reddo	render
respondere	reply
nuntio	report
assimulo	represent
postulatio	request
erubesco	respect
reperio	reveal
regno	rule
videre	see
mittere	send
appono	serve
clamo	shout
demonstro	show
adolere	smell
maneo	stay
abigo	steal
subsisto	stop
perfero	suffer
suggero	suggest
exorno	supply
statumen	support
obreptio	surprise
erudio	teach
conor	test
incedo	travel
tracto	treat
conor	try
frequento	visit
ambulare	walk
animadverto	watch
gero	wear
lucror	win
