English	Latin
be	exsisto
begin	inceptio
break	quasso
buy	redimo
close	claudere
come	venire
do	exerceo
draw	designo
drink	bibere
eat	edere
fall	cadere
feel	contrecto
find	reperio
fire	ardor
fly	no
follow	sequi
give	affero
have	habere
help	subvenio
hope	spero
kiss	basiatio
laugh	ridere
learn	discere
lie	recubo
lie	mentiri
like	amo
listen	auscultare
look	spectare
lose	amitto
love	diligo
make	facesso
move	permoveo
need	peto
offer	defero
open	patefacio
pay	pensito
push	impressio
put	colloco
read	legere
run	currere
say	aio
sell	exigo
sing	psallo
sit	incubare
smile	subridere
swim	natare
talk	loquor
understand	agnosco
use	sumo
write	scribere
accept	suscipio
accuse	arguo
add	adaugeo
add	adaugeo
admit	agnosco
agree	congruo
allow	sino
announce	denuntio
arrive	advenio
ask	scisco
attack	incurro
avoid	declino
be	vivere
bear	gero
become	fio
believe	autumo
build	texo
call	advoco
carry	veho
change	mutatio
choose	sumo
clean	abluo
compare	comparare
continue	persevero
control	gubernatio
copy	effingo
crush	frendo
crush	frendo
cry	fleo
decide	cerno
describe	demonstro
desire	opto
discuss	confero
doubt	dubitare
embrace	complexo
end	desino
enhance	erigo
establish	constituo
exist	exsisto
expect	exspecto
explain	expedio
fight	agon
fill	effercio
find	reperio
finish	exigo
forgive	dimitto
free	eripio
give	up tradere
happen	evenio
hate	contemno
hide	abdo
hold	possideo
increase	amplio
injure	vulnero
introduce	induco
introduce	induco
join	committo
keep	possideo
kill	caedo
last	duro
lead	moderor
let	sino
lift	erigo
lock	cataracta
look	videor
lose	amitto
manage	curo
marry	nubere
mention	laudo
name	advoco
poison	veneno
process	tracto
prove	arguo
raise	erigo
reach	adipiscor
receive	suscipio
reduce	redigo
reflect	consulo
refuse	recuso
remove	abrogo
render	reddo
reply	respondere
report	nuntio
represent	assimulo
request	postulatio
respect	erubesco
reveal	reperio
rule	regno
see	videre
send	mittere
serve	appono
shout	clamo
show	demonstro
smell	adolere
stay	maneo
steal	abigo
stop	subsisto
suffer	perfero
suggest	suggero
supply	exorno
support	statumen
surprise	obreptio
teach	erudio
test	conor
travel	incedo
treat	tracto
try	conor
visit	frequento
walk	ambulare
watch	animadverto
wear	gero
win	lucror
wish	cupio