Serbian	English
Абхаз (m) (Abhaz)	Abkhaz
абориџин (m) (aboridžin); домородац (m) (domorodac)	Aboriginal
Абисинија (f) (Abisinija)	Abyssinia
Ахилова пета (f) (Ahilova peta)	Achilles heel
Ахилова тетива (f) (Ahilova tetiva)	Achilles tendon
Адам (m) (Adam)	Adam
Адам и Ева (m)	Adam and Eve
Адолф (m) (Adolf)	Adolph
Егидије	Aegidius
Александруполис; Алексадрополи	Alexandroupoli
Alisa (f)	Alice
Амазонка (f) (Amazonka)	Amazon
amerikanac (m), amerikanka (f), amerikanče (n)	American
Andrija; Andrej	Andrew
Ангкор Ват	Angkor Wat
Антихрист	Antichrist
Апулеј/Apulej	Apuleius
Аргонаути	Argonaut
аријански (m)	Arian
Јерменска ССР (Jermenska SSR)	Armenian SSR
Асклепије (Asklepije)	Asclepius
ајмара	Aymara
азербејџански (azerbejdžanski)	Azerbaijani
Би-би-си (m) (Bi-bi-si)	BBC
Бамана; Бамбара 	Bambara
Вартоломеј	Bartholomew
белоруски 	Belarusian
Белоруски (Beloruski)	Belorussian
Велика кола (f) (Velika kola)	Big Dipper
црна смрт (f); crna smrt (f)	Black Death
блутут (m) (blutut); бљутут (m)	Bluetooth
Босфор (Bosfor) (m)	Bosphorus
бронзано доба (n) (bronzano doba)	Bronze Age
Бафало (Bafalo)	Buffalo
Буш (m)	Bush
Византијско царство (Vizantijsko carstvo) (n)	Byzantine Empire
Mece Dobrići	Care Bears
Картагина (f)	Carthage
katalonski (m)	Catalan
Кавказ (m)	Caucasus
чеченски (čečenski) (m), чеченски језик (čečenski jezik) (m)	Chechen
Чикаго	Chicago
Pepeljuga (f)	Cinderella
Кока-кола (f)	Coca
Коминтерна	Comintern
прасловенски језик (praslovenski jezik) (m)	Common Slavonic
крсташки поход (m); крсташки рат (m)	Crusade
Куритиба	Curitiba
Краљ Давид	David
Мртво море (n) (Mrtvo more)	Dead Sea
Димитрие (m)	Demetrius
Теодорик	Derek
дијаспора	Diaspora
Дидимотика (Didimotika)	Didymoteicho
Дизниленд (m)	Disneyland
Димитрие (m)	Dmitry
Паја Патак	Donald Duck
Земљанин (m) (Zemljanin); Земљанка (f) (Zemljanka)	Earthling
Uskršnje jaje	Easter egg
Источна Европа (f)	Eastern Europe
Едмонтон (Edmonton)	Edmonton
египћански (egipćanski)	Egyptian
Ајнштајн (m) (Ajnštajn)	Einstein
Јелисавета, Jelisaveta	Elizabeth
еуропски бизон (europski bizon), tur (m)	European bison
Ева (f) (Eva)	Eve
jajovod (m)	Fallopian tube
Фарска Острва (m)	Faroe Islands
Фински (Finski)	Finnish
Фрањо	Francis
Фридрих	Frederick
frizbi	Frisbee
БДП	GDP
Гетлингов систем (m)	Gatling gun
појас Газе (pojas Gaze)	Gaza Strip
Немац (m); nemac (m)	German
Гент	Ghent
Егидије	Giles
Бог (m) (Bog); Господ (m) (Gospod)	God
Готфрид	Godfrey
велемајстор (m) (velemajstor)	Grandmaster
Велика Кеопсова пирамида (f) (Velika Keopsova piramida)	Great Pyramid of Giza
Грчка православна црква (Grčka pravoslavna crkva)	Greek Orthodox Church
гренландски језик (m)	Greenlandic
Херодот (Herodot)	Herodotus
Хезболах (Hezbollah)	Hezbollah
Хитлер (m) (Hitler)	Hitler
Хокаидо	Hokkaido
холокауст (holokaust) (m)	Holocaust
Sveti Gral/Zdela (m)	Holy Grail
Менаџмент људских ресурса, Menadžment ljudskih resursa	Human Resource Management
Хипнос (m) (Hipnos)	Hypnos
Мислим, дакле постојим (Mislim, dakle postojim); Мислим, дакле јесам (Mislim, dakle jesam)	I think therefore I am
Игнац	Ignatius
Јонско море (Jonsko more)	Ionian Sea
Ајзак (m) (Ajzak)	Isaac
Иван (m) (Ivan)	Ivan
Џексон (m) (Džekson)	Jackson
Џава (f) (Džáva); Јава (f) (Jáva); Java (f) (Džáva, Jáva)	Java
Јеврејин (m) (Jevrejin)	Jew
Јоаким (Joakim)	Joachim
Јосиф	Joseph
К2	K2
Кампучија; (f) Камбоџа 	Kampuchea
канада 	Kannada
Кавала (Kavala)	Kavala
Харков (m) (Harkov); Харкив (m) (Harkiv)	Kharkiv
Картум (Kartum) (m)	Khartoum
Хрушчов, Hruščov	Khrushchev
клингонски (m) (klingonski)	Klingon
Комотини (Komotini)	Komotini
ЛГБТ	LGBT
Лаоконт	Laocoön
Вага (f)	Libra
Лос Анџелес (m)	Los Angeles
Лувен	Louvain
лутеран (m)	Lutheran
Лион	Lyons
Магна карта (f)	Magna Carta
малајалам 	Malayalam
Маршалска острва (Maršalska ostrva)	Marshall Islands
Марсовац (m) (Marsovac); Марсовка (f) (Marsovka)	Martian
марксизам (m) (marksizam)	Marxism
Марија (Marija)	Mary
Матеј	Matthew
Меза (Meza) (f)	Meuse
Битољ (Bitolj)	Monastir
Морфеј	Morpheus
Монт Еверест (m)	Mount Everest
Normalac (m)	Muggle
мебијусова трака (f)	Möbius strip
НАТО; NATO	NATO
Нагасаки	Nagasaki
Nai Pai To	Naypyidaw
Нова Гвинеја (Nova Gvineja)	New Guinea
новоговор (m) (novogovor)	Newspeak
Никола (Nikola)	Nicholas
ногајци	Nogai
Северна Европа (f) (Severna Evropa)	Northern Europe
Обама (Obama)	Obama
староцрквенословенски (starocrkvenoslovenski), старословенски језик (staroslovenski jezik)	Old Church Slavonic
прасловенски језик (praslovenski jezik) (m)	Old Slavonic
ОпіЪер (Oliber)	Oliver
Оливија (Olivija)	Olivia
Олимпијске игре 	Olympic Games
Ориноко (f)	Orinoco
православље (n)	Orthodox
Патра (Patra)	Patras
Perikles (m)	Pericles
Персефона (f) (Persefona)	Persephone
Плејаде	Pleiades
princ na belom konju (m)	Prince Charming
прасловенски језик (praslovenski) (m)	Proto
Квидич (Kvidič)	Quidditch
Рајх (m); Царство (n); Империја (f)	Reich
Руђер	Roger
Роми	Roma
Рајан	Ryan
врзино коло (n); vrzino kolo (n)	Sabbath
санскрит (m)	Sanskrit
Саскатун	Saskatoon
субота (f); subota (f)	Saturday
Србин (m) (Srbin); Српкиња (f) (Srpkinja); Srbin (m); Srpkinja (f); Srbijanka (f); Srbijanci	Serbian
Сицилија	Sicily
Uspavana lepotica (f)	Sleeping Beauty
Slovak (m); Slovakinja (f)	Slovak
Сократ 	Socrates
Софокле (m) (Sofokle)	Sophocles
Југоисточна Азија (Jugoistočna Azija) (f)	Southeast Asia
Јужна Европа	Southern Europe
шпански језик	Spanish
Спарта	Sparta
Сри Џајаварденепура Коте	Sri Jayawardenepura Kotte
Стаљин (m) (Staljin)	Stalin
Станислав	Stanislaus
Судети	Sudeten
Судетска област	Sudetenland
Сумерски језик (Sumerski jezik)	Sumerian
Шведска	Sweden
шведски/švedski, швеђански/šveđanski	Swedish
Тангањика (f)	Tanganyika
Танзанија (Tanzanija)	Tanzania
Тбилиси	Tbilisi
телугу 	Telugu
Десет Божјих заповести (f'p)	Ten Commandments
Тевтонски ред	Teutonic Knights
Тајландски (Tajlandski)	Thai
Тетида	Thetis
Трећи рајх (m)	Third Reich
Томаш	Thomas
титан (m) (titan)	Titan
Светски трговински центар (m)	Twin Towers
САД (f)	US
Урбан	Urban
Велики медвед (m) (Veliki medved)	Ursa Major
Мали медвед (m) (Mali medved)	Ursa Minor
узбечко (n) (uzbečko)	Uzbek
PDV	VAT
Венера	Venus
вијетнамски, vijetnamski 'm sg/pl'; вијетнамска, vijetnamska 'f sg and n pl'; вијетнамске, vijetnamske 'f pl'; вијетнамско, vijetnamsko 'n sg'	Vietnamese
Вишну (Višnu)	Vishnu
Вафен-СС	Waffen
Западна Европа (f); Zapadna Evropa (f)	Western Europe
Јангцекјанг	Yangtze
Јаунде (Jaunde)	Yaoundé
Јап (m) (Jap)	Yap
Јереван (m); Jerevan (m); Ереван (m); Erevan (m)	Yerevan
Јукатан	Yucatán
Zeland	Zealand
боље врабац у руци него голуб на грани (bolje vrabac u ruci nego golub na grani)	a bird in the hand is worth two in the bush
у лажи су кратке ноге (u laži su kratke noge)	a lie has no legs
шапнула ми птичица (šapnula mi ptičica)	a little bird told me
напуштен (m) (napušten)	abandoned
игуман (m) (iguman); опат (m) (opat)	abbot
скраћеница (f) (skraćenica)	abbreviation
абдикација (f) (abdikacija)	abdication
пре свeгa (pre svega)	above all
odsustvo (n)	absence
апсолутна нула (apsolutna nula)	absolute zero
uzdržljivost, samoodricanje, uzdržavanje, umerenost, trezvenost, trezvenjaštvo	abstinence
Apsurd	absurd
bodljikara (f), primog (m), tratorak (m)	acanthus
naglasak (m)	accent
tačno; тачно	accurately
акузатив (akuzativ) (m)	accusative
tužilac	accuser
kiseo	acid
једић (jedić)	aconite
акробатика (f) (akrobátika)	acrobatics
акромегалија (f) (akromegalija)	acromegaly
актиниjум (aktinijum) (m)	actinium
glumac (m); glumica (f)	actor
сабрати; додати	add
доливати уље на ватру (dolivati ulje na vatru)	add fuel to the fire
адмиралитет (m) (admiralitet)	admiralty
дивљење '(divljenje)' (n)	admiration
усвојити (usvojiti)	adopt
посвојче (n), нахранче (n), нахранко (m), нахранка (f), усвојеник (m), усвојеница (f)	adoptee
odrastao, punoletan	adult
preljubnik	adulterer
предност (f) ('prednost')	advantage
pustolov (m); pustolovina (f)	adventure
oglas, objavljenje, izveštenje	advertisement
bradva, bradvica, tesla, teslica	adze
етиологија (f)	aetiology
за; za; иза; iza	after
агенција (f) (agencija)	agency
vazduhoplov	aircraft
ал-Каида (al-Kaida)	al
будилник (m) (budilnik)	alarm clock
алкин (m)	alkyne
све најбоље (sve najbolje)	all the best
milostinja	alms
жутокљуна галица (f) (žutokljuna galica)	alpine chough
mada	although
visinomer (m)	altimeter
алуминиjум (m) (aluminijum)	aluminium
sam; jesam	am
jantar (m)	amber
častoljublje (n)	ambition
podeljenost (f)	ambivalence
амброзија	ambrosia
bolničarska kola, hitna pomoć	ambulance
америциjум (m) (americijum)	americium
municija (f)	ammunition
амперсенд (ampersend)	ampersand
аналгетик (m)	analgesic
анархизам '(anarhizam)' (m)	anarchism
predak (m), praotac (m), pretka (f), predkinja (f), pramajka (m), praroditelj	ancestor
kotva (f); sidro (n)	anchor
и; i	and
аниме	anime
animozitet (m)	animosity
анјон (m) (anjon)	anion
анексија (f) (aneksija); анексирање (n) (aneksiranje)	annexation
godišnjica (f)	anniversary
јавити	answer
antropomorfan	anthropomorphic
антимон (antimon) (m)	antimony
рог (m) (rog)	antler
odveznica	antonym
strepnja (f)	anxiety
извињење (n) (izvinjenje)	apology
пљесак (m) (pljesak)	applause
jabukovina (f)	apple
iver ne pada daleko od klade	apple does not fall far from the tree
pregača (f), zaprega (f), opregača (f)	apron
vodovod	aqueduct
археолог (m) (arheolog)	archaeologist
lukostrelac, strelac, streličar	archer
острвље (n)	archipelago
ареола (areola)	areola
аргон (m) (argon)	argon
naslonjača (f)	armchair
primirje (n)	armistice
арсен (arsen) (m)	arsenic
potpaljivač (m); palikuća (m)	arsonist
članak (m)	article
veštački	artificial
уметник (m) (umetnik)	artist
jasenovina (f)	ash
pepeljara (f)	ashtray
asfalt	asphalt
skupština (f)	assembly
шупак (m); šupak (m)	asshole
астат (astat) (m)	astatine
астрофизика (f) (astrofizika)	astrophysics
најзад (najzad)	at last
истовремено (istovremeno); одједном (odjednom)	at once
мајмун (m), лудо А	at sign
tavan, podkrovlje, potkrovnica	attic
auto-	auto
samodržavlje, samovlašće, samovlast	autocracy
samodržac, samovladar	autocrat
šilo	awl
блејања (n) (blejanje)	baa
беби бум генерација	baby boomer
momačko veče	bachelor party
ranac	backpack
zadnjica (f)	backside
zlostreća (f)	bad luck
лоше вести (f)	bad news
ćelav	bald
trskovača (f)	bamboo
novčanica (f)	banknote
тозиб (m) (ozib)	bar
брица (m) (brica)	barber
бар код (m); bar kod (m)	barcode
бариум (barium) (m)	barium
лајати (lajati)	bark
јечам	barley
кукувиjа (kukuvija)	barn owl
базалт (m)	basalt
бејзбол (bejzbol)	baseball
kopile (n)	bastard
слепи миш (m) (slepi miš); netopir (m); šišmiš (m)	bat
zahod (m), kupatilo (n), kupaonica, kupaona	bathroom
kada	bathtub
батискаф (m)	bathyscaphe
bojište	battlefield
tržnica (f)	bazaar
претворити се у уво (pretvoriti se u uvo)	be all ears
zver (f), čudovište (n), životinja (f), zverka (f)	beast
lepotica (f); lepojka (f)	beauty
pčelinjak (m)	beehive
pčelar (m)	beekeeper
cvekla (цвекла)	beetroot
moliti; zamoliti	beg
posmatrati, gledati	behold
беркелиjум (berkelijum) (m)	berkelium
девер (m) (dever)	best man
opklada (m)	bet
izdajnički, izdajstvo	betray
кљун (m) (kljun)	bill
двојна звезда (f) (dvojna zvezda); бинарна звезда (f) (binarna zvezda)	binary star
dvogled (m), dogled (m), durbin (m), dalekozor (m), dalekogled (m)	binoculars
биномијална номенклатура (f)	binomial nomenclature
манично-депресивна психоза	bipolar disorder
rođenje; rožastvo 	birth
biseksualnost (f) (бисексуалност)	bisexuality
бизмут (bizmut) (m)	bismuth
psica (f); kučka (f); suka (f); kuja (f)	bitch
gorkosladak	bittersweet
црнац (m) (crnac); црнкиња (f) (crnkinja)	black
тетреб (мали) (tetreb (mali)) (m)	black grouse
црна рупа (crna rupa) (f)	black hole
црна жуна (crna žuna)	black woodpecker
кос (kos)	blackbird
ucena (f)	blackmail
rezalo (n), sečivo (n), oštrica (f)	blade
ћебе	blanket
mešalica (f), mešalo (f), sokovnik (m) (italbrac'juicer)	blender
slepilo (n); slepoća (f)	blindness
plik (m); žulj (m)	blister
блицкриг (m) (blickrig)	blitzkrieg
крв није вода (krv nije voda)	blood is thicker than water
krvoproliće (n)	bloodshed
krvoločan; krvožedan	bloodthirsty
sušilica (f)	blow
cjelina (f)	body
бориjум (borijum) (m)	bohrium
zavrtanj	bolt
prijatno	bon appétit
бонсаи (m) (bonsai)	bonsai
књишки мољац (m)	bookworm
цуга (f) (cuga)	booze
graničnik (f)	border
бор (bor)	boron
nedra, prsa	bosom
оба (sr) (oba) m, обе (sr) (obe) f	both
флаширати (flaširati)	bottle
naklon, pognuti, klanjati	bow
činija (f), zdela (f)	bowl
дечак (dečak) (m)	boy
грудњак (m) (grudnjak)	bra
наруквица (f) (narukvica)	bracelet
kika (f), pletenica (f)	braid
мозак (m)	brain
grana (f), vejka (f) (leafless branch)	branch
med (f)	brass
doručkovati	breakfast
sisa (f); grudi	breast
rasa; soj (m); pasmina (f); loza (f)	breed
časoslov (m)	breviary
pivara (f)	brewery
митити (mititi); подмитити (podmititi); поткупити (potkupiti); потплатити (potplatiti)	bribe
опека	brick
mladoženja (m); ženik (m)	bridegroom
deveruša (f)	bridesmaid
саламура (f) (salamura)	brine
бром (brom) (m)	bromine
bordel (m)	brothel
смеђи патуљак (m) (smeđi patuljak)	brown dwarf
прегледати (pregledati)	browse
pretraživač (m)	browser
naneti	brush
друшкан (m) (druškan)	buddy
биво (bivo) (m)	buffalo
čebuljica (f)	bulb
gromada	bulk
samsov	bulldog
zemička (f)	bun
smotuljak (m); svežanj (m)	bundle
plovak (m)	buoy
опекотина (f) (opekotina)	burn
posetnica (f)	business card
прометан (prometan)	busy
sem	but
месар (m) (mesar)	butcher
kundak (m)	butt
маслац (maslac) (m)	butter
prihvatiti	buy
мишар (m)	buzzard
po milosti Božjoj	by the Grace of God
узгред буди речено (uzgred budi rečeno)	by the way
kajuta (f); kajita (f)	cabin
кадмиjум (kadmijum) (m)	cadmium
цезиjум (cezijum) (m)	caesium
kolač (m)	cake
калциjум (kalcijum) (m)	calcium
računalo (n)	calculator
калифорниjум (kalifornijum) (m)	californium
krasnopisac (m), krasnopisatelj (m), krasopisac (m), krasopisatelj (m), kransnopisateljica (f), krasopisateljica (f)	calligrapher
калорија (f) (kalorija)	calorie
kleveta (f)	calumny
kamilica	camomile
камуфлажа (kamuflaža) (f)	camouflage
tabor; logor	camp
pohod (m)	campaign
svećnjak (m), voskarnica (f), voštarnica (f)	candelabrum
ljudožder (m)	cannibal
кондензатор (m) (kondenzator)	capacitor
nosivost	capacity
тетреб (велики) (tetreb (veliki))	capercaillie
sužanj (n); zarobljenik (m); zarobljenica (f)	captive
lešina; truplo	carcass
poklade	carnival
mesožder, mesojedac, mesojed	carnivore
