English	Romanian
another	alt
bad	prost
basic	de bază
beautiful	frumos
best	cel mai bun
better	mai bun
big	mare
clean	curat
cold	rece
correct	corect
dark	întunecat
difficult	dificil
dirty	murdar
fast	rapid
good	bun
great	mare
great	grozav
happy	fericit
healthy	sănătos
heavy	greu
high	înalt
hot	fierbinte
important	important
left	stâng
light	uşor
long	lung
near	aproape
new	nou
nice	frumos
open	deschis
real	adevărat
right	drept
sharp	fin
similar	asemănător
slow	lent
soft	moale
strong	puternic
weak	slab
wrong	incorect
acid	acid
all	tot
any	nici un
automatic	automat
available	disponibil
bitter	amar
boring	plictisitor
bright	clar
broken	spart
central	principal
certain	sigur
cheap	ieftin
chemical	chimic
clear	senin
closed	închis
common	obişnuit
common	comun
complete	complet
cruel	crud
current	actual
dangerous	periculos
delicate	fin
deplorable	trist
different	diferit
down	jos
dry	uscat
each	fiecare
early	devreme
easy	uşor
economic	economic
economic	economic
electric	electric
equal	egal
even	par
even	egal
every	fiecare
excellent	excelent
fake	fals
false	fals
far	departe
fat	gras
fat	mare
few	puţin
final	ultim
financial	financiar
firm	tare
flat	plat
following	următor
foreign	străin
former	de altădată
fragile	delicat
free	gratuit
frequent	frecvent
fresh	proaspăt
full	plin
full	total
further	mai departe
future	viitor
general	general
industrial	industrial
interesting	interesant
international	internaţional
last	ultim
legal	legal
liquid	lichid
local	local
loud	tare
low	jos
lucky	norocos
main	principal
major	mare
many	mult
metal	metalic
military	militar
minute	infim
modern	modern
more	mai mult
much	mult
narrow	îngust
national	naţional
natural	natural
necessary	necesar
next	învecinat
no	nici o
normal	obişnuit
opposite	opus
original	original
other	celălalt
own	propriu
parallel	paralel
particular	deosebit
past	trecut
personal	personal
physical	fizic
political	politic
poor	sărac
popular	popular
possible	posibil
present	actual
previous	precedent
private	privat
probable	probabil
professional	profesional
public	public
quiet	liniştit
ready	gata
recent	recent
regular	regulat
responsible	responsabil
rigid	rigid
rough	violent
round	rotund
safe	sigur
same	neschimbat
second	al doilea
secret	sub acoperire
separate	distinct
serious	grav
several	mai mulţi
short	scurt
silent	liniştit
simple	simplu
single	singur
small	mic
smooth	neted
solid	solid
sparse	rar
special	special
specific	specific
square	pătrat
standard	standard
sticky	lipicios
straight	drept
strange	bizar
stylish	elegant
sudden	brusc
sweet	dulce
tall	înalt
thick	dens
thin	subţire
tight	strâmt
true	adevărat
ugly	urât
under	sub
unusual	neobişnuit
usual	obişnuit
various	divers
warm	cald
wet	umed
whole	întreg
wide	larg