Romanian	﻿English
negru	black
albăstrui	blue
maro	brown
gri	gray
verde	green
portocaliu	orange
roz	pink
roşu	red
violet	violet
alb	white
galben	yellow
pereche	couple
opt	eight
optsprezece	eighteen
optzeci	eighty
unsprezece	eleven
cincizeci	fifty
cinci	five
patruzeci	forty
patru	four
paisprezece	fourteen
milion	million
nouă	nine
nouăzeci	ninety
nimic	nothing
un	one
şaptezeci	seventy
ºase	six
şaizeci	sixty
zece	ten
al treilea	third
treisprezece	thirteen
treizeci	thirty
mie de dolari	thousand
mie	thousand
trei	three
braţ	arm
spate	back
cioc	beak
sânge	blood
trunchi	body
os	bone
minte	brain
răsuflare	breath
celulă	cell
piept	chest
piept	chest
bărbie	chin
ureche	ear
ochi	eye
figură	face
în formă de deget	finger
picior	foot
frunte	forehead
genă	gene
păr	hair
păr	hair
mână	hand
cap	head
inimă	heart
genunchi	knee
picior	leg
buză	lip
gură	mouth
muşchi	muscle
unghie	nail
gât	neck
nerv	nerve
nas	nose
piele	skin
stomac	stomach
coadă	tail
gât	throat
deget mare	thumb
deget de la picior	toe
limbă	tongue
dinte	tooth
aripă	wing
furnică	ant
urs	bear
albină	bee
pasăre	bird
pisică	cat
vacă	cow
câine	dog
elefant	elephant
peşte	fish
musca	fly
ţap	goat
cal	horse
insectă	insect
leu	lion
maimuţă	monkey
porc	pig
oaie	sheep
şarpe	snake
după-amiază	afternoon
vechime	age
Aprilie	April
august	August
toamnă	autumn
început	beginning
secol	century
dată	date
zi	day
Decembrie	December
capăt	end
seară	evening
Februarie	February
Vineri	Friday
viitor	future
oră	hour
Ianuarie	January
Iulie	July
Iunie	June
mai	May
miez de noapte	midnight
minut	minute
clipă	moment
clipă	moment
Luni	Monday
lună	month
dimineaţă	morning
noaptea	night
Noiembrie	November
acum	now
Octombrie	October
trecut	past
pauză	pause
perioadă	period
prezent	present
Sâmbătă	Saturday
sezon	season
secundă	second
Septembrie	September
primăvară	spring
vară	summer
Duminică	Sunday
Joi	Thursday
Marți	Tuesday
Miercuri	Wednesday
săptămână	week
ceva timp	while
iarnă	winter
an	year
pâ, ine	bread
mic dejun	breakfast
unt	butter
prăjitură	cake
brânză	cheese
ciocolată	chocolate
ou	egg
hrană	food
fruct	fruit
prânz	lunch
masă	meal
carne	meat
ulei	oil
orez	rice
salată	salad
sare	salt
sandvis	sandwich
sos	sauce
ciorbă	soup
zahăr	sugar
farmec	sweet
bere	beer
cafea	coffee
băutură	drink
lapte	milk
ceai	tea
apă	water
vin	wine
măr	apple
caisă	apricot
banană	banana
mură	blackberry
vişină	cherry
lămâie	lemon
nucă	nut
portocală	orange
piersică	peach
pară	pear
ananas	pineapple
prună	plum
zmeură	raspberry
căpşună	strawberry
fasole	bean
varză	cabbage
morcov	carrot
castravete	cucumber
usturoi	garlic
măslină	olive
ceapă	onion
păstârnac	parsnip
cartof	potato
ridiche	radish
roşie	tomato
bebeluş	baby
naştere	birth
zi de naştere	birthday
băiat	boy
frate	brother
copil	child
fiică	daughter
moarte	death
familie	family
tată	father
prieten	friend
fetiţă	girl
bunică	grandfather
fiinţă umană	human
soţ	husband
viaţă	life
bărbat	man
căsătorie	marriage
mamă	mother
vecin	neighbor
părinte	parent
persoană	person
relaţie	relationship
sorã	sister
fiu	son
nuntă	wedding
nuntă	wedding
soţie	wife
femeie	woman
adresă	address
baie	bathroom
dormitor	bedroom
cărămidă	brick
uşă	door
podea	floor
etaj	floor
garaj	garage
grădină	garden
poartă	gate
foaier	hall
casă	home
casă	house
bucătărie	kitchen
acoperiş	roof
cameră	room
duş,burlan,jgheab	shower
treaptă	step
toaletă	toilet
zid	wall
fântână	well
fereastră	window
pat	bed
covor	carpet
scaun	chair
dulap	cupboard
cortină	curtain
birou	desk
mobilă	furniture
loc	seat
raft	shelf
chiuvetă	sink
oamenii care stau la masă	table
poşetă	bag
gheată	boot
ţesătură	cloth
haine	clothing
haină	coat
guler	collar
pălărie	hat
piatră preţioasă	jewel
inel	ring
cămaşă	shirt
pantof	shoe
fustă	skirt
şosetă	sock
valiza	suitcase
cravată	tie
aer	air
animal	animal
ramură	branch
evoluţie	evolution
fermă	farm
câmp	field
foc	fire
floare	flower
pădure	forest
iarbă	grass
frunză	leaf
viață	life
fulger	lightning
umiditate	moisture
natură	nature
plantă	plant
rădăcină	root
sex	sex
cer	sky
somn	sleep
miros	smell
fum	smoke
izvor	spring
tulpină	stem
curent	stream
pom	tree
val,undă	wave
vreme	weather
lume	world
aeroport	airport
bancă	bank
a construi un pod peste	bridge
clădire	building
capitală	capital
castel	castle
biserică	church
cinematograf	cinema
oraş	city
fabrică	factory
apartament	flat
spital	hospital
hotel	hotel
bibliotecă	library
parc	park
închisoare	prison
restaurant	restaurant
drum	road
şcoală	school
post	station
stradă	street
construcţie	structure
metrou	subway
teatru	theater
oraş	town
universitar	university
sat	village
accident	accident
barcă	boat
autobuz	bus
automobil	car
curbă	curve
expres	express
zbor	flight
voiaj	journey
pasager	passenger
avion	plane
navetă spaţială	ship
şină	track
tren	train
transport	transport
actor	actor
om de afaceri	businessman
expert	expert
general	general
ziarist	journalist
judecător	judge
conducător	leader
ministru	minister
muzician	musician
fotograf	photographer
pilot	pilot
poliţist	policeman
politician	politician
preşedinte	president
profesionist	professional
reprezentant	representative
marinar	sailor
om de ştiinţă	scientist
secretar	secretary
servitor	servant
soldat	soldier
scriitor	writer
mal	bank
plajă	beach
curent	current
direcţie	direction
Pământ	Earth
est	east
altitudine	height
deal	hill
insulă	island
lac	lake
pământ	land
hartă	map
lună	Moon
nord	north
câmpie	plain
regiune	region
fluviu	river
mare	sea
sud	south
spaţiu	space
stea	star
soare	sun
vest	west
nor	cloud
rouă	dew
