Polish	﻿English
dookoła	about
nad	above
jeszcze raz	again
prawie	almost
wzdłuż	along
już	already
zawsze	always
około	approximately
jak	as
zanim	before
za	behind
między	between
przez	by
wprost	directly
wcześnie	early
oba	either
dostatecznie dużo	enough
dokładnie	exactly
wreszcie	finally
najpierw	first
przedni	forward
na ogół	generally
tutaj	here
tutaj	here
jednakże	however
zaraz	immediately
w	in
naprawdę	indeed
w środku	inside
późno	late
najmniej	least
niewielki	little
tylko	merely
nigdy	never
nie	not
aktualnie	now
oczywiście	obviously
często	often
raz	once
poza	outside
szczególnie	particularly
być może	possibly
prawdopodobnie	probably
prędko	quickly
rzeczywiście	really
naprawdę	really
ostatnio	recently
powoli	slowly
tak	so
tylko	solely
czasami	sometimes
niedługo	soon
jeszcze	still
taki	such
na pewno	surely
wtedy	then
oto	there
dlatego	therefore
dzisiaj	today
razem	together
jutro	tomorrow
dzisiaj wieczorem	tonight
również	too
na	up
zazwyczaj	usually
naprawdę	very
zdrowy	well
