English	Russian
black	чёрный
blue	голубой
brown	коричневый
gray	серый
green	зелёный
orange	оранжевый
pink	розоватый, розовый
red	красный
violet	фиолетовый, тёмно-лиловый
white	белый
yellow	жёлтый
couple	пара
eight	восемь
eighteen	восемнадцать
eighty	восемьдесят
eleven	одиннадцать
fifteen	пятнадцать
fifty	пятьдесят
first	первый
five	пять
forty	сорок
four	четыре
fourteen	четырнадцать
hundred	сто
million	миллион
nine	девять
nineteen	девятнадцать
ninety	девяносто
nothing	нуль, ничто
one	один
seven	семь
seventeen	семнадцать
seventy	семьдесят
six	шесть
sixteen	шестнадцать
sixty	шестьдесят
ten	десять
third	третий
thirteen	тринадцать
thirty	тридцать
thousand	тысяча
thousand	тысяча
three	три
twenty	двадцать
two	два
arm	рука
back	большой чан, спина
beak	клюв
blood	кровь
body	торс
bone	кость
brain	мозг
breath	дыхание
cell	ячейка, клетка
chest	грудь
chest	грудная клетка, грудь
chin	подбородок
ear	ухо
eye	глаз
face	лицо
finger	палец
foot	подошва
forehead	лоб, чело
gene	ген
hair	волосы
hair	волос, ворс
hand	рука
head	голова
heart	сердце
knee	колено
leg	нога
lip	губа
mouth	уста, рот
muscle	мускул, мышца
nail	ноготь
neck	шея, горло
nerve	нерв
nose	нос
skin	кожа
stomach	желудок
tail	хвост
throat	глотка, зев
thumb	большой палец
toe	палец на ноге
tongue	язык
tooth	зуб
wing	крыло
ant	муравей
bear	медведь
bee	пчела
bird	птица
cat	кот, кошка
cow	корова
dog	собака
elephant	слон
fish	рыба
fly	муха
goat	козёл, коза
horse	лошадь, конь
insect	насекомые
lion	лев
monkey	обезьяна
pig	свинья
sheep	овца
snake	змея
afternoon	время после полудня
age	возраст
April	апрель
August	август
autumn	осень
beginning	старт
century	век
date	дата, число
day	день
December	декабрь
end	конец
evening	вечер
February	февраль
Friday	пятница
future	будущее
hour	час
January	январь
July	июль
June	июнь
May	май
midnight	полночь
minute	минута
moment	момент, миг
moment	момент, мгновение
Monday	понедельник
month	месяц
morning	утро
night	ночь
November	ноябрь
now	сейчас
October	октябрь
past	прошлое
pause	перерыв, пауза
period	период
present	настоящее
Saturday	суббота
season	времена года
second	секунда
September	сентябрь
spring	весна
summer	лето
Sunday	воскресенье
Thursday	четверг
today	сегодняшний день, сегодня
tomorrow	завтрашний день, завтра
Tuesday	вторник
Wednesday	среда
week	неделя
weekend	выходных
while	момент
winter	зима
year	год
bread	хлеб
breakfast	завтрак
butter	масло
cake	сладкое, пирожное
cheese	сыр
chocolate	шоколад
egg	яйцо
food	блюдо, питание
fruit	фрукты
lunch	обед
meal	блюдо, еда
meat	мясо
oil	масло
rice	рис
salad	салат
salt	соль
sandwich	сандвич, бутерброд
sauce	соус
soup	суп
sugar	сахар
sweet	сладость
beer	пиво
coffee	кофе
drink	напиток
milk	молоко
milkshake	коктейль
tea	чай
water	вода
wine	вино
apple	яблоко
apricot	абрикос
banana	банан
blackberry	ежевика
cherry	вишня
lemon	лимон
nut	орех
orange	апельсин
peach	персик
pear	груша
pineapple	ананас
plum	слива
raspberry	малина
strawberry	земляника
bean	боб
cabbage	капуста
carrot	морковь
cucumber	огурец
garlic	чеснок
olive	маслина
onion	лук
parsnip	пастернак
pea	горох
potato	картофелина
radish	редиска
tomato	помидор, томат
baby	ребёнок
birth	рождение
birthday	день рождения
boy	мальчик, парень
brother	брат
child	ребёнок
daughter	дочь
death	смерть
family	семья
father	папа, отец
friend	друг
girl	девушка, девочка
grandfather	дедушка
human	лицо, человек
husband	муж
life	жизнь
man	мужчина, человек
marriage	брак
mother	мамочка
neighbor	сосед
parent	родитель
person	лицо, человек
relationship	родство
sister	сестра
son	сын
wedding	брак
wedding	брак
wife	жена
woman	женщина
address	адрес
bathroom	ванная
bedroom	спальня
brick	кирпич
door	дверь, створка
floor	настил, пол
floor	этаж
garage	гараж
garden	сад
gate	ворота, калитка
hall	прихожая, вестибюль
home	жилище, дом
house	дом
kitchen	кухня
roof	крыша
room	комната
shower	душ
step	ступень
toilet	уборная, туалет
wall	стена
well	колодец
window	окно
bed	кровать, постель
carpet	ковёр
chair	стул
cupboard	шкаф
curtain	занавеска
desk	письменный стол
furniture	мебель
seat	кресло
shelf	полка
sink	лохань
table	стол
bag	сумка, сумочка
boot	ботинок
cloth	ткань
clothing	одежда
coat	пальто, пиджак
collar	воротник, туфля
hat	шляпа
jacket	куртка, пиджак
jewel	драгоценность
ring	кольцо
shirt	рубашка
shoe	ботинок
skirt	юбка
sock	носок, гольфы = чулки до колен
suitcase	чемодан
tie	галстук
air	воздух
animal	животное
branch	ветвь
evolution	эволюция, развитие
farm	ферма
field	поле
fire	огонь, пламя
flower	цветок
forest	лес
grass	трава
leaf	листва
life	жизнь
lightning	молния
moisture	влажность
nature	природа
plant	растение
root	корень
sex	пол
sky	небо
sleep	сон
smell	запах
smoke	дым
spring	источник
stem	стебель
stream	поток
tree	дерево
wave	волна
weather	погода
world	свет, мир
airport	аэродром, аэропорт
bank	банк
bridge	мост
building	здание
capital	столица
castle	замок, кремль
church	церковь, храм
cinema	кино, кинотеатр
city	мегаполис
factory	завод
flat	квартира
hospital	больница
hotel	гостиница, отель
library	библиотека
park	парк, сад
prison	тюрьма, заточение
restaurant	ресторан
road	дорога, путь
school	школа
station	станция
street	улица
structure	стройка
subway	метро
supermarket	супермаркет, универсам
theater	театр
town	город
university	университет, вуз
village	деревня
accident	несчастный случай, авария
boat	лодка
bus	автобус
car	автомобиль, машина
curve	povorod
express	экспресс
flight	летание, полёт
journey	поездка
passenger	пассажир
plane	самолёт
ship	судно, корабль
skid	буксовка
track	рельс
train	поезд
transport	перевозка, транспорт
actor	актёр
actress	актриса
businessman	бизнесмен
expert	специалист
general	генерал
journalist	журналист, газетный сотрудник
judge	судья
leader	лидер
minister	министр
musician	музыкант
photographer	фотограф
pilot	пилот
policeman	милиционер
politician	политик
president	президент
professional	профессионал
representative	заместитель
sailor	матрос, моряк
scientist	учёный
secretary	секретарь, секретарша
servant	слуга
soldier	солдат
writer	писатель
bank	берег
beach	пляж
current	течение, поток
direction	направление
Earth	Земля
east	выход
height	высота
hill	взгорье, холм
island	остров
lake	озеро
land	земля, почва
map	карта
Moon	месяц
north	север
plain	равнина
region	район
river	река
sea	море
south	юг
space	космос
star	звезда
sun	солнце
west	запад
cloud	облако
dew	роса
fog	туман
frost	иней
rain	дождь
rainbow	радуга
snow	снег
storm	буря
thunder	гром
wind	ветер
acid	кислота
chemical	химикат
chemical element	элемент
coal	уголь
cotton	хлопок
dust	пыль
earth	земля
fat	жир
glass	стекло
glue	клей
grain	зерно
ice	лёд
iron	железо
leather	кожа
liquid	жидкость
matter	вещество
metallic element	металл
oil	нефть
poison	яд, отрава
powder	порошок
sand	песок
silk	шёлк, шелк
soap	мыло
steel	сталь
wood	дерево
wool	волна, шерсть
bag	мешок
basket	корзина
bottle	бутылка
box	коробка
can	консерва
cup	чашка
drawer	ящик
envelope	конверт
glass	стакан
plate	тарелка
bell	колокол
button	кнопка
gun	оружие
hammer	молоток
hook	крючок
key	ключ
lock	замок
match	спичка
nail	гвоздь
needle	иголка, игла
pump	насос
rope	канат
scissors	ножницы
spring	пружина
stamp	печать, штемпель
whip	бич
addition	сложение
angle	угол
area	пространство
center	центр
circle	круг
curve	кривая, дуга
degree	степень
degree	уровень
difference	разница
distance	расстояние
division	разделение
edge	кромка, край
element	элемент
function	функция
half	половина
limit	граница, лимит
line	черта, линия
net	сплетение
order	порядок
outside	наружность, внешность
percent	процент
point	точка
purpose	намерение, цель
result	результат
root	корень
rule	правило, предписание
set	множество
side	сторона
square	квадрат
square	вторая степень
substitution	замена
surface	поверхность
total	итог, сумма
ability	способность
act	дело
action	поступок, действие
activity	деятельность
