Finnish	﻿English
toinen	another
huono	bad
perus-	basic
kaunis	beautiful
paras	best
parempi	better
suuri	big
puhdas	clean
kylmä	cold
oikea	correct
pimeä	dark
vaikea	difficult
likainen	dirty
nopea	fast
kiltti	good
huomattava	great
hauska	great
onnellinen	happy
terve	healthy
raskas	heavy
korkea	high
kuuma	hot
tärkeä	important
vasen	left
kevyt	light
pitkä	long
lähellä	near
uusi	new
mukava	nice
aava	open
oikea	real
oikea	right
tarkka	sharp
kuin	similar
hidas	slow
pehmeä	soft
voimakas	strong
heikko	weak
virheellinen	wrong
hapan	acid
sitten	ago
kaikki	all
joku	any
automaattinen	automatic
käytettävissä	available
karvas	bitter
pitkäveteinen	boring
helakka	bright
rikki	broken
keskeinen	central
varma	certain
halpa	cheap
kemiallinen	chemical
kirkas	clear
suljettu	closed
yleinen	common
yhteinen	common
täydellinen	complete
tajuinen	conscious
julma	cruel
nykyinen	current
vaarallinen	dangerous
hieno	delicate
surullinen	deplorable
erilainen	different
erilainen	different
Alas	down
kuiva	dry
jokainen	each
varhainen	early
helppo	easy
taloudellinen	economic
taloudellinen	economic
sähköinen	electric
yhtäläinen	equal
parillinen	even
sileä	even
jokainen	every
erinomainen	excellent
petollinen	fake
kaukana	far
lihava	fat
runsas	fat
vähän	few
lopullinen	final
rahallinen	financial
luja	firm
tasainen	flat
seuraava	following
ulkomaan	foreign
hauras	fragile
ilmainen	free
tuore	fresh
täysi	full
kokonais-	full
kauempana	further
tuleva	future
yleinen	general
teollinen	industrial
kiinnostava	interesting
kansainvälinen	international
viimeinen	last
laillinen	legal
nestemäinen	liquid
paikallinen	local
kovaääninen	loud
matala	low
onnekas	lucky
ensisijainen	main
merkittävä	major
monta	many
sotilas	military
moderni	modern
lisää	more
paljon	much
kapea	narrow
kansallinen	national
luonnollinen	natural
välttämätön	necessary
ei kukaan	no
normaali	normal
vastapäinen	opposite
alkuperäinen	original
toinen	other
oma	own
rinnakkainen	parallel
erityinen	particular
viime	past
henkilökohtainen	personal
fyysinen	physical
poliittinen	political
köyhä	poor
yleistajuinen	popular
käypä	possible
nykyinen	present
edellinen	previous
yksityinen	private
todennäköinen	probable
ammatillinen	professional
yleinen	public
hiljainen	quiet
valmis	ready
äskeinen	recent
säännöllinen	regular
jäykkä	rigid
karkea	rough
pyöreä	round
turvallinen	safe
sama	same
toinen	second
salainen	secret
eri	separate
vakava	serious
vakio	set
usea	several
lyhyt	short
hiljainen	silent
hopeinen	silver
yksinkertainen	simple
yksi ainoa	single
pieni	small
sileä	smooth
kiinteä	solid
harva	sparse
erityinen	special
neliö	square
normaali	standard
tahmea	sticky
suora	straight
kummallinen	strange
tyylikäs	stylish
äkillinen	sudden
makea	sweet
pitkä	tall
sakea	thick
ohut	thin
tiukka	tight
tosi	true
ruma	ugly
alla	under
yleinen	usual
erilainen	various
lämmin	warm
märkä	wet
koko	whole
